BALSHAM-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL589508,Long,0.32016144,Lat,52.132658,Elevation,375,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.31,2.08,1.6,2.58,0.95,1.5,2.26,2.5,1.9,1.97,2.42,1.49,2.75,0.97,1.81,1.77,2.49,1.64,1.58,1.83,0.69,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.09,0.62,1.29,2.42,3.53,0.95,0.8,2.79,0.38,0.33,1.39,2.2,1.03,2.22,2.27,2.74,0.96,0.41,0.71,2.32,0.35,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.81,1.41,3.17,1.37,2.78,1.65,0.71,1.9,1.15,0.67,1.62,1.56,0.57,0.96,0.11,1.54,2.05,0.06,2.03,0.13,1.58,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.15,1.48,0.55,0.98,1.45,1.28,3.14,1.11,3.84,1.46,2.29,1.33,1.77,1.93,3,1.49,1.05,1.28,2.33,3.14,2.14,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.09,2.08,1.27,1.51,2.1,0.92,2.07,1.94,0.97,0.77,1.42,1.19,3.73,1.84,1.79,0.64,1.94,1.13,2.91,2.87,5.22,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.72,1.11,1.8,2.48,2.01,1.74,0.56,1.37,1.52,0.47,1.35,0.52,1.8,0.94,2.05,2.76,2.28,0.91,0.99,2.24,0.57,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.1,1.49,1.7,2.84,2.02,3.56,3.57,4.01,3.56,0.41,3.67,1.85,3.22,2.56,3.27,1.89,2.4,2.66,3.05,4.34,2.37,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,7.18,0.54,1.02,3.48,3.53,6.33,1.1,2.39,1.07,1.65,2.16,3.09,2.74,1.98,1.24,2.78,2.16,0.9,2.52,3.34,3.22,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.13,1.47,0.86,1.9,1.58,1.23,6.05,0.82,2.23,1.41,2.7,1.93,2.04,3.01,2.69,4.04,0.72,0.21,3.98,1.5,2.03,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.34,3.68,1.95,1.2,2.65,4.12,1.5,0.62,0.85,1.29,0.7,4.09,3.22,2.46,2.27,1.64,2.99,2.83,1.15,0.66,4.44,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
