CLEETHORPES - KING'S PARADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA314079,Long,-0.018,Lat,53.551,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
November,1.57,2.30,2.68,2.39,2.35,3.48,3.07,2.00,1.34,1.87,1.73,3.60,2.42,2.14,2.31,4.22,3.83,3.57,2.20,2.51,3.76,0.91,4.57,1.20,0.92,2.64,4.11,3.18,3.26,1.29,3.48,1.33,1.18,1.97,0.66,2.87,3.07
December,1.65,1.98,0.68,2.21,1.62,4.37,2.05,1.48,0.94,0.51,3.14,2.03,1.18,3.79,3.86,2.35,1.59,0.44,1.81,0.83,1.45,1.87,1.83,2.59,2.05,1.94,2.71,2.00,2.08,0.83,2.18,2.37,1.21,2.53,2.43,4.24,2.87
Total,23.07,20.03,22.37,25.57,21.66,20.34,28.76,31.44,20.91,21.03,19.45,26.18,25.69,28.09,21.84,27.08,23.03,25.72,19.08,19.16,27.82,20.29,28.38,19.41,23.58,17.88,28.12,27.02,21.93,20.28,27.08,21.40,27.60,22.33,27.30,19.96,29.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Figures in the 1920 and 1923 columns are not readings from King's Parade and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# They are part of a calculation of an estimate for 1920-1923 based on aggregate readings from the Grimsby Abbey Road site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The February 1942 figure is identified on the sheet as a part-estimate and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1981 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
