"GAMESHOPE LOCH EDINBURGH WW NO 4",,,,,,,,,,,,
Grid ref,NT130163,Long,-3.376443,Lat,55.432835,,,,,,,
Station no,5068,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.00,3.42,4.95,10.15,6.38,1.89,8.56,1.80,5.41,7.38,,
February,0.80,2.15,1.65,10.20,4.11,1.85,2.23,2.93,3.82,2.35,,
March,0.30,2.12,3.68,20.93,4.31,8.08,2.85,5.12,6.91,7.01,,
April,3.38,5.06,4.41,1.52,6.00,5.43,1.65,3.38,1.88,4.61,,
May,6.87,3.28,2.65,4.21,5.44,4.96,7.43,7.19,3.86,3.91,,
June,8.58,5.15,1.79,3.31,6.35,3.52,2.83,8.91,5.04,3.33,,
July,5.28,1.99,3.49,6.06,6.12,4.38,4.38,4.74,5.28,6.99,,
August,6.35,8.15,3.98,10.40,7.00,7.66,10.06,7.80,6.28,3.71,,
September,6.70,9.10,4.38,-999.00,6.82,4.12,2.08,1.20,10.32,3.15,,
October,7.72,7.40,4.87,16.85,3.71,4.45,10.60,13.40,3.08,15.08,,
November,7.13,3.42,6.87,4.30,2.45,7.75,6.48,6.19,5.30,2.88,,
December,15.57,4.00,7.74,5.20,5.50,5.07,2.13,7.99,5.41,7.33,,
Total,74.68,55.24,50.46,98.23,64.19,59.16,61.25,70.65,62.59,67.73,,
Calc annual,74.68,55.24,50.46,93.13,64.19,59.16,61.28,70.65,62.59,67.73,,
Difference,0.00,0.00,0.00,5.10,0.00,0.00,-0.03,0.00,0.00,0.00,,
