"EDINBURGH W W (GAMESHOPE LOCH)",,,,,,,,,,,,
Grid ref,NT132162,Long,-3.373252,Lat,55.431972,,,,,,,
Station no,5068/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.90,12.36,2.00,5.79,8.53,4.42,11.60,9.60,4.20,9.50,,
February,7.70,3.09,2.97,6.96,3.20,2.12,6.60,6.50,2.90,9.80,,
March,6.90,6.38,1.02,5.79,3.40,3.20,8.00,3.30,8.10,4.00,,
April,7.40,5.04,5.00,1.09,3.10,1.70,5.00,2.50,8.70,9.00,,
May,3.10,3.48,6.00,7.53,4.70,5.00,4.40,5.90,2.00,4.40,,
June,4.50,4.72,3.00,8.02,4.70,5.70,2.80,4.70,5.00,5.30,,
July,6.00,4.50,12.59,7.03,3.70,8.50,7.00,7.60,7.80,7.80,,
August,12.50,7.00,6.03,7.53,2.70,10.00,7.80,7.80,3.00,6.00,,
September,10.49,3.70,9.53,13.06,6.50,8.00,6.00,7.40,2.20,6.20,,
October,1.12,8.74,6.52,15.00,5.50,6.30,8.20,5.90,8.50,6.80,,
November,18.56,4.93,11.52,15.10,5.50,3.70,4.90,2.30,21.70,16.50,,
December,18.93,6.50,8.05,10.51,7.96,11.20,9.60,7.30,14.00,6.30,,
Total,106.10,70.44,74.23,103.41,59.49,69.84,81.90,70.80,88.10,91.60,,
Calc annual,106.10,70.44,74.23,103.41,59.49,69.84,81.90,70.80,88.10,91.60,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
