"BRIGHTON W.W (MILE OAK)",,,,,,,,,,,,
Grid ref,TQ243079,Long,-0.235355,Lat,50.857264,,,,,,,
Station no,485,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.64,2.66,1.60,1.50,4.33,5.92,2.31,4.87,3.48,2.95,,
February,5.84,0.96,1.30,2.75,1.92,0.34,4.68,3.06,0.05,3.46,,
March,4.12,3.27,0.32,3.78,1.08,0.49,1.78,2.08,1.80,1.84,,
April,2.19,1.85,2.69,0.46,0.15,1.60,0.20,1.00,2.52,0.94,,
May,2.52,2.92,2.04,1.85,3.75,0.57,0.94,3.04,0.48,1.57,,
June,2.36,1.09,1.55,2.99,1.95,2.23,1.24,3.48,1.52,2.02,,
July,2.81,1.43,3.31,4.77,0.06,2.80,4.57,2.62,2.20,4.42,,
August,5.21,3.02,2.24,3.09,1.43,3.40,2.01,5.97,1.91,6.20,,
September,3.10,3.85,4.23,3.23,3.35,3.45,4.07,4.42,0.13,4.71,,
October,1.74,3.50,4.06,2.46,2.77,1.45,1.64,3.11,2.99,8.23,,
November,5.52,4.44,2.21,5.51,1.49,0.78,3.31,2.72,3.92,7.50,,
December,2.95,4.46,0.98,3.29,3.75,5.08,2.58,5.34,7.21,4.57,,
Total,42.00,33.45,26.53,35.68,26.03,28.11,29.33,41.71,28.21,48.41,,
Calc annual,42.00,33.45,26.53,35.68,26.03,28.11,29.33,41.71,28.21,48.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
