BRIDGWATER-WEMBDON-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST289369,Long,-3.01739,Lat,51.12698,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,3.87,1.75,3.52,2.5,4.09,3.66,4.17,0.93,4.36,2.29,3.01,1.77,2.04,0.65,3.56,4.49,2.75,5.37,2.33,3.41,2.98,5.46,,,,,,,
February,,,3.02,6.87,0.34,3.65,1.86,2.79,2.68,1.13,0.69,2.3,0.06,4.65,0.28,2.41,2.05,4.87,0.84,1.21,2.09,2.49,0.29,1.08,,,,,,,
March,,,2.33,1.43,1.06,0.33,0.93,3.43,2.92,0.15,2.49,1.17,1.88,2.86,2.06,1.3,2.73,4.12,0.1,1.06,2.1,2.59,1.92,1.3,,,,,,,
April,,,2.69,2.31,3.12,2.4,2.13,1.26,1.37,1.18,3.12,2.37,2.57,1.11,2.56,4.17,2.22,2.53,0.14,2.87,2.17,2.77,0.92,0.78,,,,,,,
May,,,0.67,1.19,3.83,3.31,1.77,1.2,0.44,2.13,1.39,3.55,3.7,1.99,1.05,1.16,1.41,2.11,2.06,0.99,2.44,1.69,5.53,2.28,,,,,,,
June,,,1.07,0.47,3.23,0.08,3.04,2.47,2.18,1.89,0.8,2.92,0.79,1.5,1.79,2.56,3.65,0.54,0.83,2.89,0.58,1.59,0.76,1.23,,,,,,,
July,,,3.1,1.42,3.79,2.8,2.72,5.04,2.16,1.21,2.02,3.06,2.51,1.24,0.25,0.48,6.04,5.22,2.55,4.39,3.78,2.12,1.38,2.02,,,,,,,
August,,,3.61,2.19,5.78,3.42,1.24,3.03,2.15,2.81,2.65,5.07,0.91,0.87,4.08,2.07,0.3,0.92,3.96,2.05,0.04,3.13,3.87,2.95,,,,,,,
September,,,1.81,3.19,4.73,3.24,2.08,6.87,1.41,0.59,3.76,1.48,3.79,2.22,2.29,3.07,3.95,4.41,2.54,0.89,1.69,1.22,1.72,2.85,,,,,,,
October,,,1.25,4.71,5.39,2.94,4.78,2.34,4.75,4.91,3.1,0.53,5.71,2.62,2.91,4.38,1.61,4,2.29,3.25,3.76,1.4,2.37,2.61,,,,,,,
November,,,1.58,2.3,2.84,2.65,6.47,2.82,3.35,8.88,4.58,4.98,2.81,0.85,1.28,6.2,2.8,2.28,3.58,5,5.46,2.65,1.37,2.32,,,,,,,
December,,,4.87,2.73,4.14,3.83,0.34,2.78,3,7.75,4.41,1.33,2.05,0.93,7.66,4.3,1.91,2.17,2.92,1.7,2.59,1.86,3,2.12,,,,,,,
Total,,,29.87,30.56,41.77,31.15,31.45,37.69,30.58,33.56,33.37,31.05,29.79,22.61,28.25,32.75,32.23,37.66,24.56,31.67,29.03,26.92,26.11,27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge in rock garden near Northfield Rd and Wembdon Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at Silver Birch 93 Wembdon Rd a little further up the road from Northfield Rd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation given on sheet of 30ft not possible in this area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Sept 16 Inspection Somewhat sheltered by bush but will be moved a foot Very good exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Shrubs and house rather near gauge N and S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
