"ONICH (CORRAN GARDENS)",,,,,,,,,,,,
Grid ref,NN023636,Long,-5.232592,Lat,56.722069,,,,,,,
Station no,5742/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.83,7.44,7.05,8.86,5.28,6.30,14.17,7.93,,,,
February,5.18,4.86,7.06,5.03,3.78,3.53,4.62,3.94,,,,
March,4.50,6.71,2.68,5.45,0.96,4.48,9.05,2.53,,,,
April,5.84,4.16,4.28,2.89,6.13,3.08,3.80,4.90,,,,
May,0.73,2.69,5.76,3.70,3.80,6.37,2.45,5.80,,,,
June,2.96,5.35,0.94,6.57,5.06,4.15,4.65,2.76,,,,
July,6.93,4.59,8.65,4.52,1.71,6.20,6.06,2.96,,,,
August,5.50,6.31,7.87,6.81,2.08,5.24,7.41,5.73,,,,
September,6.49,6.33,12.03,9.87,10.08,6.52,5.05,6.28,,,,
October,3.99,8.51,5.17,16.20,8.55,8.26,12.53,9.87,,,,
November,9.16,3.52,15.33,11.79,3.06,9.00,3.37,2.95,,,,
December,13.68,9.10,8.91,14.83,10.93,13.73,11.33,6.51,,,,
Total,74.79,69.57,85.73,96.52,61.42,76.86,84.49,62.16,,,,
Calc annual,74.79,69.57,85.73,96.52,61.42,76.86,84.49,62.16,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
