ONICH (CORRAN GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN023636,Long,-5.232592,Lat,56.722069,Elevation,72,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5742/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,0.44,7.13,8.21,11.49,5.52,12.12,6.86,8.48,11.58,7.89,9.83,7.44,7.05,8.86,5.28,6.3,14.17,7.93,,
February,,,,,,,,,,,4.86,3.62,10.97,4.56,13.33,6.51,0.09,8.03,11.01,9.38,5.18,4.86,7.06,5.03,3.78,3.53,4.62,3.94,,
March,,,,,,,,,,,2.58,2.67,5.51,3.65,8.21,4.88,1.88,8.1,5.06,5.95,4.5,6.71,2.68,5.45,0.96,4.48,9.05,2.53,,
April,,,,,,,,,,,3.41,2.4,9.35,5.87,2.36,4.59,11.93,5.63,11.11,7.09,5.84,4.16,4.28,2.89,6.13,3.08,3.8,4.9,,
May,,,,,,,,,,,1.66,3.14,4.59,7.83,5.5,1.33,3.89,1.4,3.87,2.38,0.73,2.69,5.76,3.7,3.8,6.37,2.45,5.8,,
June,,,,,,,,,,,2.18,4.3,7.15,5.73,6.72,6.11,7.04,6.09,2.86,6.87,2.96,5.35,0.94,6.57,5.06,4.15,4.65,2.76,,
July,,,,,,,,,,6.03,7.82,7.2,5.26,2.41,4.47,7.46,5.52,7.17,3.01,10.11,6.93,4.59,8.65,4.52,1.71,6.2,6.06,2.96,,
August,,,,,,,,,,6.2,9.03,9.39,8.34,4.27,4.23,6.57,0,8.51,9.62,7.39,5.5,6.31,7.87,6.81,2.08,5.24,7.41,5.73,,
September,,,,,,,,,,6.82,3.23,11.49,6.73,6.63,7.99,9.21,9.06,13.98,4.46,14.09,6.49,6.33,12.03,9.87,10.08,6.52,5.05,6.28,,
October,,,,,,,,,,7.08,7.84,12.47,14.68,7.82,5.33,0.51,5.19,11.22,12.9,9.14,3.99,8.51,5.17,16.2,8.55,8.26,12.53,9.87,,
November,,,,,,,,,,9.68,6.61,3.09,5.81,7.7,1.01,5.71,13.07,6.85,7.81,5.77,9.16,3.52,15.33,11.79,3.06,9,3.37,2.95,,
December,,,,,,,,,,11.56,7.04,13.21,6.01,8.37,6.88,7.26,3.93,9.58,16.96,3.35,13.68,9.1,8.91,14.83,10.93,13.73,11.33,6.51,,
Total,,,,,,,,,,,56.7,80.11,92.61,76.33,71.55,72.26,68.46,95.04,100.25,89.41,74.79,69.57,85.73,96.52,61.42,76.86,84.49,62.16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Ja Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5742/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13998 ONICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,691641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
