OTTER HOUSE ARGYLL,,,,,,,,,,,,,,,,,,,,
Grid ref,NR 926 784,Long,-5.322357,Lat,55.954292,Elevation,115,ft,,,,,,,,,,,,
Station no,RR1384,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,5.28,5.75,6.05,8.89,8.67,4.34,6.49,10.89,5.03,,
February,,,,,,,,,,4,3.4,3.42,2.31,4.29,5.54,4.54,7.41,5.5,,
March,,,,,,,,,,5.4,4.2,7.66,2.56,4.32,6.47,2.62,4.43,2,,
April,,,,,,,,,,5.08,2.35,0.51,3.87,4.81,3.39,1.59,2.3,7.12,,
May,,,,,,,,,,0.85,4.28,1.99,7.05,3.51,1.75,3.86,1.66,1.67,,
June,,,,,,,,,,2.05,4.1,4.23,4.32,4.88,3.99,1.54,3.14,3.04,,
July,,,,,,,,,,3.4,1.21,3.61,6.14,0.47,4.71,3.74,3.38,3.43,,
August,,,,,,,,,4.6,3.32,6.5,9.5,3.44,6,4.73,5.96,6.89,5.06,,
September,,,,,,,,,2.9,3.8,2.26,8.61,2.1,6.8,7.79,1.35,,5.57,,
October,,,,,,,,,5.4,4.1,7.1,6.74,10.16,6.51,2.45,5.91,,10.97,,
November,,,,,,,,,2.55,2.68,2.63,6.5,5.52,5.14,7.3,4.31,,,,
December,,,,,,,,,6.49,4.24,3.98,5.02,8.1,8.46,3.68,5.93,,,,
Total,,,,,,,,,,44.2,47.76,63.84,64.46,63.86,56.14,47.84,,,,
