MILNTHORPE (BROOKLANDS),,,,,,,,,,,,,,,,,,,,
Grid ref,SD535836,Long,-2.715085,Lat,54.245963,Elevation,163,ft,,,,,,,,,,,,
Station no,3711/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.92,3.58,5.17,4.1,2.61,4.02,3.84,4.52,6.24,5.05,3.49,6.1
February,,,,,,,,,3.79,6.63,4.11,1.14,2.26,3.72,1.61,0.84,4.12,6.52,2.27,4.2
March,,,,,,,,,2.17,3.49,4.55,3.22,0.59,2.47,1.25,1.52,3.79,1.11,2.9,1.01
April,,,,,,,,,6.48,3.82,2.4,2.87,2.86,1.8,3.35,1.13,0.99,1.3,3.99,4.12
May,,,,,,,,,3.8,2.32,1.17,2.42,2.15,3.4,3.83,3.21,3.5,5.58,0.94,2.4
June,,,,,,,,,1.17,4,1.06,5.05,2.68,5.75,4.49,1.73,2.15,2.23,4.57,1.98
July,,,,,,,,,5.73,4.91,3.49,2.16,6.01,6.2,1.54,4.37,4.36,2.61,5.44,7.07
August,,,,,,,,,3.8,8.82,4.34,5.29,5.11,6.17,1.63,10.54,5.05,3.75,0.76,3
September,,,,,,,,,1.63,9.15,4.97,3.53,6.36,8.11,2.77,3.55,6,5.6,1.15,3.66
October,,,,,,,,,7.39,4.6,0.95,2.98,1.61,10.3,2.5,4.58,8.33,5.91,5.31,2.36
November,,,,,,,,,8.41,5.16,6.74,2.19,6.52,6.78,2.2,1.55,1.66,1.4,5.55,8.57
December,,,,,,,,,9.22,2.42,10.74,4.84,2.94,7.9,6.53,5.12,4.75,3.71,10.04,5.78
Total,,,,,,,,,57.51,58.9,49.69,39.79,41.7,66.62,35.54,42.66,50.94,44.77,46.41,50.25
,,,,,,,,,,,,,,,,,,,,
12602,CROOKLANDS ,01/01/1949,31/12/1987,,,,,,,,,,,,,,,,,
