"DARLINGTON BROKEN SCAR",,,,,,,,,,,,
Grid ref,NZ256141,Long,-1.606018,Lat,54.521550,,,,,,,
Station no,3502,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,1.78,0.50,1.92,1.68,2.87,1.95,1.77,2.20,4.15,,
February,2.56,0.30,1.95,2.31,1.49,2.02,1.96,3.36,0.39,2.30,,
March,2.95,1.24,0.12,1.31,1.35,0.52,0.89,1.59,0.74,1.90,,
April,1.56,1.91,1.98,0.35,0.73,0.70,0.15,1.24,1.86,0.83,,
May,2.65,1.22,1.95,2.72,1.56,0.41,1.23,3.03,0.40,1.97,,
June,0.64,0.92,2.58,1.74,2.18,2.56,1.98,3.21,1.50,0.37,,
July,1.55,0.82,3.15,1.91,0.90,3.31,3.37,2.88,1.30,4.44,,
August,5.96,2.04,4.57,3.97,0.45,6.54,2.91,3.34,0.53,2.22,,
September,0.88,3.29,1.69,1.96,0.83,2.41,3.56,2.91,1.28,2.25,,
October,1.26,2.47,1.74,3.94,1.80,0.97,1.89,1.49,1.18,5.05,,
November,5.59,2.02,1.30,4.33,1.95,0.45,1.34,0.70,3.51,2.98,,
December,2.62,1.78,0.89,1.86,2.44,2.55,1.85,3.53,2.84,2.17,,
Total,30.06,19.79,22.42,28.32,17.36,25.31,23.08,29.05,17.73,30.63,,
Calc annual,30.06,19.79,22.42,28.32,17.36,25.31,23.08,29.05,17.73,30.63,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
