ASHCOMBE-THORNS-RES-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SX903806,Long,-3.5506,Lat,50.6157,Elevation,550,ft,,,,,,,,,,,,
Station no,1736/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,7.41,3.29,6.27,4.68,9.52,,,,,,,
February,,,,,,,,,1.56,5.95,5.23,0.44,1.74,,,,,,,
March,,,,,,,,,2.11,3.67,4.37,2.91,2.18,,,,,,,
April,,,,,,,,,3.04,4.12,1.63,2.18,1.63,,,,,,,
May,,,,,,,,,0.7,1.69,2.95,7.88,3.74,,,,,,,
June,,,,,,,,,3.91,0.77,2.67,0.69,0.81,,,,,,,
July,,,,,,,,,6.43,2.91,0.86,2.22,2.74,,,,,,,
August,,,,,,,,,2.7,0.05,4.04,4.42,3.01,,,,,,,
September,,,,,,,,,0.87,2.04,1.24,1.64,3.39,,,,,,,
October,,,,,,,,,6.49,6,1.7,5.35,4.57,,,,,,,
November,,,,,,,,6.29,8.32,7.57,3.86,1.21,2.33,,,,,,,
December,,,,,,,,4.82,2.18,4.33,3.87,5.18,4.18,,,,,,,
Total,,,,,,,,,45.72,42.39,38.69,38.8,39.84,,,,,,,
