ST-BRIDES-BAY-HILTON,,,,,,,,,,
Grid ref,SM876195,Long,-5.0841803,Lat,51.833618,Elevation,250,ft,,
Station no,RR8809,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.8,4.75,,,,,
February,,,,4.06,2.05,,,,,
March,,,,0.49,1.8,,,,,
April,,,,0.2,1.52,,,,,
May,,,,0.85,3.48,,,,,
June,,,,1.12,2.25,,,,,
July,,,,2.07,3.6,,,,,
August,,,,2.27,3.2,,,,,
September,,,2.55,1.32,1.45,,,,,
October,,,3.25,3.48,6.04,,,,,
November,,,4.21,3.52,4.64,,,,,
December,,,2.43,4.56,3.57,,,,,
Total,,,,26.74,38.35,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1895 Jan Gauge moved,,,,,,,,,,
