SUNDRIDGE-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ485552,Long,0.12764375,Lat,51.276599,Elevation,280,ft,,,,,,,,,,,,,
Station no,376,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.96,2.77,3.39,2.61,4.51,1.18,3.49,2.03,2.38,2.02,2.3,1.23,5.53,,,,
February,,,,,1.03,4.74,3.16,5.02,1.75,0.46,1.25,2.62,0.74,2.18,0.15,4.55,1.98,,,,
March,,,,2.58,1.5,1.02,0.45,4.36,2.17,0.07,1.73,0.38,1.72,3.81,2.65,0.44,1.2,,,,
April,,,,2.5,4.38,2.94,4.55,2.26,2.06,1.32,1.69,4.78,2.63,0.79,2.68,3.4,2.01,,,,
May,,,,3.02,3.58,2.85,1.33,1.22,2.51,2.09,2.39,2.95,4.01,1.98,0.8,1.74,0.44,,,,
June,,,,0.68,2.46,0.25,3.49,4.26,3.08,1.09,0.53,1.42,1.16,1.91,1.78,2.69,3.33,,,,
July,,,,2.23,4.49,4.33,1.72,3.68,2.05,1.77,2.78,3.12,2.43,2.07,1.67,0.8,4.1,,,,
August,,,,2.09,3.66,2,2.32,5.05,2.46,2.9,3.09,4.81,0.83,0.71,2.12,3.49,0.67,,,,
September,,,,1.98,3.77,2.62,1.16,5.18,0.93,0.27,4.5,2.2,2.24,3.13,1.99,4.03,2.06,,,,
October,,,,6.9,3.59,4.2,2.97,2.1,5.08,3.47,1.9,0.7,7.13,2.28,2.26,4.01,2.53,,,,
November,,,,2.38,3.67,3.11,6.92,3.06,3.31,7.28,5.33,3.76,1.38,1.22,3.59,6.61,4.66,,,,
December,,,,3.28,4.22,3.82,0.68,4.37,4.09,6.51,2.29,0.64,0.69,0.73,7.15,4.16,2.95,,,,
Total,,,,,39.31,34.65,32.14,43.17,34,28.41,30.97,29.41,27.34,22.83,29.14,37.15,31.46,,,,
