NORTHENDEN SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ827909,Long,-2.261743,Lat,53.414619,Elevation,81,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2929/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.39,1.79,1.99,2.05,3.29,3.1,3.83,4.03,1.67,0.68,3.22,4.33,4.14,2.41,3.69,1.96,6.84,2.19,1.56,2.85,3.7,1.27,3.26,2.3,,,,,
February,,0.09,2.62,0.29,3.11,1.83,4.57,0.95,3.08,1.66,2.98,1.44,2.38,1.24,2.94,4.95,0.46,1.86,1.52,3.84,1.8,1.11,1.33,2.84,1.92,,,,,
March,,1.88,2.71,2.32,1.09,1.36,1.34,0.94,1.48,2.82,2.35,2.3,0.82,0.34,0.96,0.72,5.37,1,1.72,1.91,4.1,2.01,2.13,2.44,1.85,,,,,
April,,2.91,0.99,1.71,2.54,0.87,2.68,0.32,1.9,1.63,1.2,1.46,1.11,2.3,1.9,1.14,2.26,1.46,2.66,3.11,2.14,3.64,2.4,0.71,1.98,,,,,
May,,4.35,1.44,2.02,0.78,0.69,2.01,3.41,1.09,1.17,1.27,4.37,2,3.66,3.43,1.07,2.09,1.47,4.63,1.36,2.04,1.69,1.83,2.52,2.31,,,,,
June,,0.34,3.25,2.31,3.69,2.85,1.22,2.73,2.74,1.01,0.5,0.58,2.57,2.46,3.09,2.73,1.94,4.64,0.92,2.49,1.14,2.83,2.17,2.92,2.59,,,,,
July,,3.4,2.18,1.91,1.07,3.2,2.09,3.69,5.38,3.83,3.23,3.57,1.83,3.08,0.98,4.56,2.32,2.36,1.51,2.76,3.4,2.77,3.32,4.77,0.79,,,,,
August,,1.31,1.77,2.16,1.36,1.79,1.2,2.06,1.45,1.3,4.97,3.38,4.28,3.52,2.18,4.04,0.42,4.52,2.5,3.73,3.96,2.19,4.31,4.66,0.78,,,,,
September,,2.83,1.05,2.22,5.1,3.21,1.31,1.66,0.92,3.07,0.53,1.53,4.39,3.49,1.79,4.88,1.94,2.08,0.84,4.85,2.67,3.19,3.07,4.07,2.13,,,,,
October,,6.73,4.15,4.4,4.82,3.34,1.43,5.55,1.28,3.57,3.57,4.98,2.89,3.35,5.73,0.49,0.46,2.39,2.87,2.27,1.01,3.12,2.04,5.54,,,,,,
November,,2.3,0.9,1.45,4.38,3.11,1.84,4.26,5.05,5.92,2.21,0.74,2.21,5.49,0.42,4.49,3.42,1.97,4.23,4.42,7.05,2.04,2.86,5.23,,,,,,
December,,1.02,0.29,4.54,3.37,3.3,2.27,3.56,2.4,2.77,1.29,3.32,1.53,2.38,2,3.16,2.46,2.9,4.38,2.87,4.76,3.2,1.35,4.74,,,,,,
Total,,30.55,23.14,27.32,33.36,28.84,25.06,32.96,30.8,30.42,24.78,30.89,30.34,35.45,27.83,35.92,25.1,33.49,29.97,35.17,36.92,31.49,28.08,43.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
