"DINGLEY (MARKET HARBOROUGH)",,,,,,,,,,,,
Grid ref,SP771876,Long,-0.866159,Lat,52.480888,,,,,,,
Station no,1145,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.00,,
February,,,,,,,,,,0.53,,
March,,,,,,,,,,2.52,,
April,,,,,,,,,,1.14,,
May,,,,,,,,,,1.27,,
June,,,,,,,,,,3.30,,
July,,,,,,,,,,2.75,,
August,,,,,,,,,,2.49,,
September,,,,,,,,,,1.96,,
October,,,,,,,,,,3.29,,
November,,,,,,,,,,0.66,,
December,,,,,,,,,,3.78,,
Total,,,,,,,,,,24.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.69,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
