"MARKET HARBOROUGH, DINGLEY HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1145,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.35,2.17,3.75,1.26,2.09,1.35,2.88,2.63,4.21,1.54,3.51,
February,0.73,0.23,2.28,3.86,0.50,3.01,3.03,2.38,1.93,0.53,1.03,
March,2.29,0.97,1.57,1.70,0.74,1.23,0.96,2.24,1.86,0.05,1.68,
April,4.84,0.97,2.93,1.76,2.91,1.52,2.18,1.72,0.99,1.77,2.99,
May,1.87,1.56,1.08,1.02,3.43,4.27,2.21,0.95,1.11,1.83,3.16,
June,1.61,0.89,0.98,0.56,2.38,0.00,2.13,4.17,2.59,1.38,1.37,
July,3.16,0.35,4.05,3.74,2.87,2.15,2.14,2.28,1.60,1.94,3.47,
August,1.24,2.74,5.15,1.84,2.54,1.16,1.22,4.22,2.44,1.23,2.36,
September,1.89,0.98,1.94,2.96,2.94,3.18,2.17,4.49,1.31,1.51,4.01,
October,1.68,1.38,0.68,3.62,4.14,3.13,2.20,2.02,4.39,3.05,1.71,
November,1.15,1.65,1.16,1.59,2.32,1.68,4.27,3.41,3.25,6.06,3.12,
December,2.30,1.51,3.14,2.63,3.14,2.46,0.77,2.35,2.80,5.23,2.66,
Total,25.11,15.40,28.71,26.54,30.00,25.14,26.16,32.86,28.48,26.12,31.07,
Calc annual,25.11,15.40,28.71,26.54,30.00,25.14,26.16,32.86,28.48,26.12,31.07,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
