"WEARDALE WW WASKERLEY PARK",,,,,,,,,,,,
Grid ref,NZ046461,Long,-1.929955,Lat,54.809744,,,,,,,
Station no,RR1189,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.24,0.98,0.95,3.16,2.47,0.48,2.61,0.40,1.47,0.91,,
February,5.11,0.77,0.68,2.85,2.18,0.47,0.74,1.35,1.22,1.08,,
March,1.27,1.18,0.41,3.45,2.08,2.80,1.26,1.32,4.76,3.09,,
April,1.54,1.61,2.24,1.78,1.71,1.58,1.24,1.84,2.70,2.05,,
May,1.55,1.85,2.13,3.27,1.79,1.45,4.30,3.19,2.56,1.74,,
June,3.86,2.27,2.66,1.70,2.92,1.06,0.91,3.99,0.99,3.16,,
July,1.14,2.60,3.66,5.52,1.76,0.59,0.62,2.24,2.38,2.01,,
August,6.76,2.50,1.92,2.56,3.29,4.31,3.85,1.71,0.90,3.18,,
September,0.77,1.92,0.95,4.15,0.70,2.57,1.12,0.41,3.97,3.32,,
October,5.40,3.02,3.54,9.16,1.20,2.40,4.73,5.62,2.84,2.62,,
November,3.82,4.23,1.71,1.34,2.45,4.22,3.35,2.85,1.82,0.31,,
December,2.65,1.07,3.58,1.93,1.50,1.81,1.63,4.49,0.81,2.41,,
Total,38.11,24.00,24.43,40.87,24.05,23.74,26.36,29.41,26.42,25.88,,
Calc annual,38.11,24.00,24.43,40.87,24.05,23.74,26.36,29.41,26.42,25.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
