HIGHTERS HEATH RESERVOIR (+A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP087793,Long,-1.873524,Lat,52.411634,Elevation,517,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2471/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.35,3.08,0.86,3.49,3.43,2.87,4.93,2.78,3.04,3.02,5.45,2.71,1.69,2.38,2.14,4.76,1.52,0.65,3.14,2.76,1,1,2.71,3.88,1.35,2.59,3.14,5.22
February,,,2.93,0.38,2.52,2.53,3.78,0.71,1.33,2.43,2.15,0.89,2.03,1.43,2.37,2.23,1.59,1.48,0.86,5.15,3.01,0.53,1.33,2.83,2.21,0.54,2.98,4.23,0.04,2.12
March,,,3.04,2.19,0.61,2.2,2.67,0.33,1.57,1.72,2.46,2.12,1.16,0.34,0.88,0.94,6.64,1.24,1.55,1.18,4.94,2.32,1.87,2.64,3.26,0.89,2.52,1.29,2,1.54
April,,,1.05,2.15,3.51,1.8,2.72,0.08,1.95,3.64,1.19,1.33,0.94,1.85,0.9,2.67,2.48,1.57,2.3,2.18,2.81,2.85,2.57,0.93,1.14,1.09,0.22,0.64,3.24,1.26
May,,,2.12,1.09,1.41,1.22,2.25,1.55,1.14,2.58,2.51,3.28,3.96,0.86,2.84,2.77,2.35,2.9,2.76,1.71,3.78,2.45,2.38,2.62,5.05,0.7,1.33,2.44,1.02,1.1
June,,,3.16,1.22,3.14,5.31,0.86,1.89,2.16,0.56,1.39,0.1,1.77,1.64,3.13,2.4,2,3.81,0.39,2.68,1.36,1.63,2.11,2.98,3.02,2.13,0.87,3.93,0.58,2.44
July,,,2.65,1.22,0.52,5.82,2.87,3.45,4.83,2.94,3.52,1.88,1.22,2.56,1.98,1.78,2.21,1.49,2.42,2.71,0.96,1.02,3.09,3.16,0.91,3.53,3.65,5.82,2.19,3.39
August,,,0.77,2.13,1.86,0.73,1.54,3.33,2.82,0.24,3.85,3.26,1.84,2.21,1.72,5.73,0.52,4.41,1.31,4.03,4.65,4.28,2.65,4.34,0.42,4.52,4.15,2.11,1.24,3.87
September,,,0.75,2.35,3.78,3.53,1.86,2.15,0.99,1.12,1.28,1.44,1.47,4.08,1.35,4.32,1.35,3.03,1.62,4.13,1.93,1.59,2.46,1.86,1.5,2.73,4.68,3.15,0.12,4.71
October,,,3.87,1.71,3.32,1.5,2.61,2.71,3,4.1,2.49,3.02,2.19,3.48,3.76,0.53,0.47,2.87,5.73,0.85,0.62,4.41,2.19,4.36,1.5,1.58,1.4,2.13,2.97,5.48
November,,,0.97,2.27,5.41,2.52,1.63,3.33,4.06,6.46,2.89,1.61,1.78,5.01,0.57,6.64,1.79,1.63,3.31,4.51,7.17,2.17,1.22,6.01,2.88,0.7,1.96,1.98,4.2,4
December,,,0.51,4.98,3.86,2.53,2.08,4.18,1.8,1.6,1.55,3.43,1.15,1.82,3.53,2.85,2.62,5.09,1.37,1.55,2.32,2.73,1.35,2.2,2.41,3.42,2.69,2.91,5.01,3.41
Total,,,24.17,24.77,30.8,33.18,28.3,26.58,30.58,30.17,28.32,25.38,24.96,27.99,24.72,35.24,26.16,34.28,25.14,31.33,36.69,28.74,24.22,34.93,27.01,25.71,27.8,33.22,25.75,38.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,HIGHTERS HEATH RESR ,01/01/1933,31/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
