SUTTON-ON-FOREST - SUTTON HALL,,,,,,,,,,,,,,,,
Grid ref,SE583646,Long,-1.111,Lat,54.074,Elevation,125,ft,,,,,,,,
Station no,RR4561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
January,3.13,0.90,3.50,3.09,1.51,,,,1.78,2.78,2.94,1.99,3.00,,2.46,1.34
February,2.27,0.65,1.02,0.87,1.32,,,,2.00,1.38,0.92,0.14,2.20,,0.94,3.41
March,0.64,1.13,3.42,1.96,1.48,,,,0.50,2.69,1.79,0.83,1.85,,1.00,0.86
April,2.29,0.81,0.17,2.64,0.52,,,,1.00,1.37,3.18,0.98,1.96,,1.67,2.35
May,3.29,2.41,1.94,2.21,1.04,,,,2.00,0.83,2.16,1.46,1.50,,4.22,2.90
June,1.96,3.87,6.95,1.27,1.48,,,,0.65,0.79,1.85,0.20,1.71,,0.86,0.00
July,2.59,1.38,2.52,0.14,3.93,,,,3.28,2.85,6.13,1.42,4.69,,2.73,1.33
August,3.13,1.91,4.57,0.62,1.93,,,,2.15,1.70,1.19,2.95,3.64,,2.65,2.44
September,0.37,2.60,2.08,1.19,1.48,,,,4.12,0.96,1.34,1.12,1.93,,2.61,2.38
October,2.14,2.34,2.25,2.26,2.44,,,,1.53,2.66,2.83,1.72,0.88,,3.34,2.97
November,2.56,3.25,2.26,1.72,2.88,,,,1.71,2.19,1.20,1.71,1.30,,1.69,1.19
December,2.34,3.93,1.61,1.61,4.27,,,,3.31,3.21,2.26,2.15,2.92,,2.59,3.17
Total,26.71,25.18,32.29,19.58,24.28,,,,24.03,23.41,27.79,16.67,27.58,,26.76,24.34
,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/007,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/216,,,,,,,,,,,,,,,,
