"GLENEDRA LODGE",,,,,,,,,,,,
Grid ref,IC705005,Long,-6.903129,Lat,54.847478,,,,,,,
Station no,6242,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.23,8.25,1.86,4.33,6.01,4.50,7.04,5.25,3.30,6.71,,
February,3.17,3.20,2.78,5.97,5.87,2.49,5.60,5.65,2.15,6.35,,
March,3.73,2.75,1.48,4.86,1.30,2.92,4.53,3.00,4.90,3.25,,
April,2.94,2.32,3.28,1.55,3.25,1.84,1.76,2.80,5.72,5.33,,
May,3.27,2.00,3.38,7.06,4.68,2.39,2.29,4.25,1.35,3.29,,
June,3.18,3.48,4.02,4.52,5.73,4.64,1.98,7.10,3.40,3.89,,
July,4.72,2.49,7.71,4.93,1.17,6.11,8.31,7.86,4.82,8.69,,
August,8.28,6.44,5.19,4.23,0.96,6.93,5.31,5.53,2.63,5.82,,
September,4.00,4.16,4.69,7.98,5.72,5.82,7.37,6.82,1.52,3.62,,
October,2.40,7.37,3.21,7.31,4.57,4.32,5.28,5.85,6.67,7.30,,
November,9.48,4.64,5.74,8.54,3.94,4.00,1.97,2.35,9.12,6.20,,
December,7.76,5.91,4.76,7.81,7.54,6.15,7.64,8.18,10.35,5.80,,
Total,57.16,53.01,48.10,69.09,50.74,52.11,59.08,64.64,55.93,66.25,,
Calc annual,57.16,53.01,48.10,69.09,50.74,52.11,59.08,64.64,55.93,66.25,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
