HASLEMERE-LYNCHMORE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU869309,Long,-0.761075,Lat,51.070861,Elevation,521,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,166/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.65,0.82,3.39,3.79,0.95,1.06,2.81,5.45,1.51,7.15,0.93,1.88,1.22,3.68,1.41,3.63,5.41,0.88,5.5,2.26,1.36,4.07,6.13,4.71,4.13,5.01,2.11,3.18,4.65,5.27,2.82,5.91,1.6,5.85,3.02,5.2,3.33,3.34,1.04,6.72,8.54,4.64,6.25,2.89,3.6,3.19,5.99,3.21,2.03,3.75,3.69,7.29,1.53,0.8,6.25,,,,,,,,,
February,,,,,,,,3.72,1.24,3.36,6.8,1.29,1.83,2.31,4.29,0.62,3.4,1.88,1.36,0.38,4.07,1.8,3.55,1.52,6.41,6.54,5.61,0.82,2.03,2.71,0.96,0.2,3.4,6.41,0.4,5.49,3.18,5.36,2.6,0.83,1.03,2.94,0.49,5.81,0.19,4.59,3.2,6.3,0.66,2.21,4.63,3.64,0.86,2.77,0.93,3.38,3.2,1.82,2.05,2.15,8.28,9.77,,,,,,,,,
March,,,,,,,,4.58,1.12,0.84,1.09,2.33,2.11,3.74,1.61,5,1.7,2.13,3.73,4.88,1.83,2.74,5.18,3.86,5.58,0.61,4.58,1.69,1.58,5.59,3,1.28,2.92,2.26,1.99,0.63,0.36,4.49,2.88,0.15,6.36,0.7,2.31,5.09,3.39,0.74,2.5,4.27,0.33,1.73,4.71,3.59,2.67,0.68,0.21,1.05,1.34,6.53,1.38,1.81,2.68,5.88,,,,,,,,,
April,,,,,,,,1.91,1.37,2.65,0.94,1.86,1.29,2.63,1.47,1.6,0.62,4.89,2.42,1.96,2.19,1.64,0.03,3.29,1.47,1.47,0.91,2.68,3.62,2.83,3.62,0.85,4.47,3.35,3.88,3.98,3.82,2.32,2.36,0.73,3.41,4.21,4.01,1.07,2.61,3.8,2.9,4.03,0.15,2.83,2.59,1.58,2.43,1.54,1.71,1.53,3.11,3.78,2.17,2.49,3.76,3.49,,,,,,,,,
May,,,,,,,,1.45,4.03,1.29,1.18,0.92,2.48,3,3.19,0.53,2.91,2.03,2.99,4.9,1.65,1.86,1.34,2.96,1.26,2.98,1.72,1.37,1.57,0.3,1.05,2.05,0.73,2.58,4.68,4.96,2.53,1.07,2.34,3.35,2.66,3.64,5.15,2.67,0.84,1.6,0.76,2.64,2.04,2.4,1.02,3.5,3.52,4.2,0.72,1.89,3.23,1.63,3.13,3.24,2.36,4.02,,,,,,,,,
June,,,,,,,,1.78,1.53,1.36,3.34,2.11,2.8,4.61,0.76,4.7,1.91,1.5,0.95,2.86,2.91,2.2,3.54,0.33,0.55,1.78,1.23,1.92,1.36,0.79,1.93,0.16,1.78,0.53,3.37,0.03,3.03,3.09,3.11,1.88,0.41,2.13,1.78,2.49,1.46,3.61,3.6,1.69,0.95,1.74,0.56,2.54,0.24,2,2.2,2.69,4.55,1.83,4.07,0.76,1.93,1.8,,,,,,,,,
July,,,,,,,,0.67,0.41,1.57,0.92,2.18,1.28,3.12,1.52,1.19,0.67,1.52,2.46,3.27,2.53,0.89,2.29,2.89,2.18,4.69,1.04,3.86,4.6,1.49,6.03,0.48,4.99,1.56,4.46,3.61,2.2,3.83,1.91,2,2.8,4.62,4.31,2.8,2.18,0.89,3.9,1.32,2.2,4.36,3.11,3.14,1.54,2.55,2.77,6.28,2.95,2,1.27,0.76,5.51,1.94,,,,,,,,,
August,,,,,,,,6,1.38,0.66,2.5,1.64,4.06,5,2.64,3.14,1.59,2.61,4.55,2.55,3.2,1.93,6.37,2.09,1.55,1.83,3.33,7.19,1.07,2.91,1.92,2.34,3.17,2.48,3.55,5.24,1.71,5.25,2.5,2.23,5.4,5.9,1.36,1.69,3.99,3.12,0.87,0.87,1.76,2.62,0.32,5.74,4.3,2.27,1.66,2.09,6.44,0.71,4.38,1.87,6.67,6.91,,,,,,,,,
September,,,,,,,,2.32,2.14,2.57,1.14,1.65,1.1,4,2.23,2.85,2.12,0.59,3.2,2.61,0.52,1.53,3.79,2.99,1.68,2.83,2.42,2.21,5.6,2.12,2.04,1.02,1.93,2.17,5.9,3.22,0.89,7.26,1.52,0.26,3.33,2.5,4.01,4.43,3.16,5.55,3.24,2.2,2.01,1.8,1.87,0.18,2.54,2.09,2.31,2.94,5.72,1.84,2.91,2.16,4.66,4.29,,,,,,,,,
October,,,,,,,,0.69,4.04,3.31,2.55,3.5,2.61,9.08,3.3,1.71,5.27,6.3,3.1,8.5,3.38,5.58,4.73,5.72,2.62,3.97,6.63,4.92,1.64,0.58,3.08,0.96,0.93,7.1,4.48,3.63,2.88,3.21,7.67,4.94,2.02,0.71,7.5,2.43,2.68,6.04,2.24,4.13,4.51,6.28,5.78,1.01,4.35,3.38,5.71,3.98,1.77,0.96,2.52,10.76,1.23,,,,,,,,,,
November,,,,,,,,1.11,4.18,6.44,2.9,0.77,3.36,2.2,1.3,5.02,5.23,2.4,1.48,0.97,4.08,6.98,1.97,3.61,5.02,3.31,5.87,1.17,3.09,2.35,2.18,2.43,2.22,1.86,3.25,3.38,8.04,4.73,3.94,8.56,7.69,4.76,2.46,1.26,4.21,9.18,5.52,3.29,5.12,8.06,9.53,4.28,1.12,2.65,6.4,0.45,8.41,2.19,2.53,4.64,8.82,,,,,,,,,,
December,,,,,,,,4.63,3.86,2.64,4.16,4.98,1.77,3.2,4.62,1.4,2.29,4.14,3.86,5.05,7.46,9.82,4.84,1.91,12.1,9.1,3.92,1.56,3.2,6.42,4.16,2.47,5.13,3.86,5.76,4.19,0.37,4.79,3.88,8.9,4.07,0.89,1.54,0.92,10.54,5.26,4.93,5.34,4.17,2.83,2.34,3.13,4.88,2.53,3.3,5.82,4.44,3.5,5.97,2.81,2.72,,,,,,,,,,
Total,,,,,,,,31.51,26.12,30.08,31.31,24.18,25.75,45.7,32.38,29.27,34.86,30.92,31.98,39.15,37.5,38.38,41.26,36.58,41.3,44.61,39.52,30.75,33.43,34.22,34.68,18.37,36.68,36.27,44.9,43.01,34.28,48.22,40.62,35.43,45.03,36.02,40.12,33.99,38.59,45.42,40.38,44.62,28.54,43.11,39.35,35.93,31.64,32.65,31.13,34.13,48.91,30.48,39.67,34.98,49.42,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
