GLEN FINLAS RESERVOIR NO. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS328893,Long,-4.687407,Lat,56.067224,Elevation,782,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.3,2.75,1,8.25,7.16,10.2,5.05,9.35,7.95,11.5,11.45,6.7,8,7.38,4,7.1,4.1,5.1,11.15,7.81,3.8,5.1
February,,,,,,,,,9.2,3.62,6.53,3.01,9.22,4.01,12.7,6.2,0.44,8.2,8.05,9.5,4.3,2.7,5.1,5.15,3.65,2.1,3.8,3.35,3.67,6.25
March,,,,,,,,,6.68,7.68,3.1,4.2,4.21,1.7,6.47,4,3.55,7.01,4.7,5.1,4.95,5.5,2.5,4.7,1.7,4.04,11.25,2.1,5.1,4.25
April,,,,,,,,,3.83,4.93,3.34,3.53,7.46,4.07,3.2,3.5,8.55,5.4,9.6,6.2,4.4,3.1,2.85,4.39,5.9,1.9,3.4,3,6.1,8.2
May,,,,,,,,8.52,2.11,1.78,4.1,4.15,5.15,6.1,6.5,1.84,6.15,2.45,3.85,2.1,2.6,2.05,3.75,4.9,5.1,4.75,3.73,5.83,1.73,3.9
June,,,,,,,,10.48,5.13,1.21,2.26,3.4,6.9,7.6,7.25,7.1,5.85,7.8,1.9,4.2,2.65,3.8,2.35,5.99,5.35,4.2,3.6,3.15,3.65,5
July,,,,,,,,8.45,9.4,4.45,5.01,5.95,4.7,6.1,6.45,5.75,7.35,7.6,4.9,10.75,5.7,4.85,10.75,5.1,1.59,7.53,9.28,6.65,10.1,7.92
August,,,,,,,,4.76,3.16,5.13,8,11.71,13.7,4.95,2.9,6.85,0,13.1,6.9,9.05,8.1,6.15,5.9,7.9,1.7,8.15,6,9.53,3.2,4.6
September,,,,,,,,8.87,6.96,5.78,3.61,11.1,7.1,7.6,10.25,12.25,8.05,12.9,3.8,15.5,5.85,4.9,9.35,10.7,9.1,7.75,5.5,5.85,3.7,4.45
October,,,,,,,,14.93,3.01,9.82,8.76,12.4,17.34,7.7,8.8,0.85,4.25,16.2,10.4,10,3.15,6.45,5.25,15.55,7.05,6.51,9.5,6.93,7.1,4.1
November,,,,,,,,12.96,12.51,9.94,5.98,2.18,6.4,9.95,1.2,10.88,12.5,6.5,7.72,4.45,9.1,3.65,12.9,9.4,3.95,3.85,3.35,3.85,7.1,6.2
December,,,,,,,,7.95,6.11,8.95,5.31,11.62,5.02,7.42,6.7,8.59,4.1,8.75,16.9,2.75,12.35,8.6,7.35,13.3,12.6,10.5,10.11,6.6,12.1,11.8
Total,,,,,,,,,73.4,66.04,57,81.5,94.36,77.4,77.47,77.16,68.74,107.41,90.17,86.3,71.15,59.13,72.05,94.18,61.79,66.38,80.67,64.65,67.35,71.77
