GLASGOW (RUTHERGLEN),,,,,,,,,,,,
Grid ref,NS603608,Long,-4.231308,Lat,55.820179,,,,,,,
Station no,5204/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.05,4.72,1.43,5.37,3.00,2.47,6.56,4.64,1.46,3.40,,
February,2.80,1.40,1.45,4.09,3.05,1.39,2.83,3.01,1.77,3.89,,
March,3.33,2.45,0.98,2.58,1.95,2.20,3.79,1.29,1.88,1.87,,
April,2.63,2.40,1.78,1.40,1.44,1.12,2.10,1.16,3.40,2.96,,
May,1.90,1.54,2.12,3.43,3.75,2.31,2.74,2.82,1.35,2.81,,
June,2.08,2.77,1.34,3.07,1.75,3.00,2.03,3.21,3.37,1.99,,
July,3.43,2.31,3.95,3.64,1.53,5.29,3.91,5.50,3.95,3.47,,
August,4.66,3.04,3.65,5.87,1.45,4.90,4.23,5.76,0.71,3.19,,
September,2.82,2.81,3.26,4.91,3.43,4.94,3.17,4.31,1.07,2.56,,
October,0.96,3.95,2.40,9.46,2.85,3.35,4.16,3.81,4.79,2.82,,
November,6.55,2.34,6.25,6.46,1.81,1.06,1.89,1.99,4.45,4.87,,
December,6.31,3.69,4.85,6.25,6.73,6.13,4.10,5.70,7.34,4.77,,
Total,41.52,33.42,33.46,56.53,32.74,38.16,41.51,43.20,35.54,38.60,,
Calc annual,41.52,33.42,33.46,56.53,32.74,38.16,41.51,43.20,35.54,38.60,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
