SHREWSBURY-ORDNANCE-SURVEY-OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ501123,Long,-2.7399662,Lat,52.706055,Elevation,191,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.1,0.48,3.14,1.04,0.94,1.27,1.87,0.34,3.2,3.05,0.89,2.67,0.66,1.81,1.85,,,,,,,,,,,,3.78
February,,,,,3.23,0.74,1.31,0.93,1.26,0.9,2.05,1.04,1.05,0.97,1.84,2.71,3.41,1.1,1.46,,,,,,,,,,,,0.64
March,,,,,1.41,2.9,0.85,0.67,2.69,2.41,0.42,1.24,2.87,3.63,2.27,0.67,3.19,2.4,1.14,,,,,,,,,,,,3.13
April,,,,,1.11,1.44,0.69,1.56,2.41,1.83,1.53,0.49,0.09,3.13,0.8,1.37,1.15,1.46,2.01,,,,,,,,,,,,2.57
May,,,,,2.17,0.78,1.63,2.52,1.56,0.52,1.86,0.96,2.55,1.92,0.69,2.21,2.38,3.43,3.15,,,,,,,,,,,,1.83
June,,,,,0.91,2.24,1.74,3.85,1.91,2.9,1.81,1.91,3.71,0.83,2.3,1.34,2.16,2.01,0.83,,,,,,,,,,,,0.71
July,,,,,2.21,1.15,0.96,2.47,2.49,2.28,2.02,0.37,2.08,1.07,3.6,4.02,2,1.42,3.23,,,,,,,,,,,,
August,,,,,3.07,3.62,1.48,2.5,3.16,1.71,2.54,1.48,5.33,2.54,3.52,3.85,1.44,4.72,,,,,,,,,,,,,1.84
September,,,,,1.5,1,0.61,0.65,1.77,1.83,0.55,1.73,0.56,1.71,0.76,0.63,0.93,1.18,,,,,,,,,,,,1.1,2.99
October,,,,,0.3,1.26,4.05,5.06,1.59,2.79,3.04,2.45,2.36,3.96,1.35,2.01,3.45,3.5,,,,,,,,,,,,2.93,
November,,,,,0.99,2.32,2.25,2.4,1.59,0.57,3.81,2.36,2.04,1.89,3.07,2.8,2.04,1.49,,,,,,,,,,,,4.38,
December,,,,,1.59,0.61,1.92,1.89,2.07,3.78,4.44,3,2.03,1.24,5.27,4.41,1.68,0.99,,,,,,,,,,,,,
Total,,,,,20.59,18.54,20.63,25.54,23.44,22.79,25.94,17.37,27.87,25.94,26.36,28.69,24.49,25.51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Monklands, where the Ordnance Survey Office was located, which fits the altitude and relationship to the Abbey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is a 1920s record called Shrewsbury Monklands, which has a note previous records 1903 to 1918, which nearly fits this range of dates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Monklands records is only a few months and has been added to this record albeit it adds little value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1920s Monklands record has observer as MOH, assumed to be Medical Officer of Health, which might mean is should be Monkmoor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I can find no link between Monklands and the medical profession.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
