SHREWSBURY ORDNANCE SURVEY OFFICE,,,,,,,,,,,,
Grid ref,SJ501123,Long,-2.739966,Lat,52.706055,,,,,,,
Station no,RR7390,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.10,0.48,3.14,1.04,0.94,1.27,,
February,,,,,3.23,0.74,1.31,0.93,1.26,0.90,,
March,,,,,1.41,2.90,0.85,0.67,2.69,2.41,,
April,,,,,1.11,1.44,0.69,1.56,2.41,1.83,,
May,,,,,2.17,0.78,1.63,2.52,1.56,0.52,,
June,,,,,0.91,2.24,1.74,3.85,1.91,2.90,,
July,,,,,2.21,1.15,0.96,2.47,2.49,2.28,,
August,,,,,3.07,3.62,1.48,2.50,3.16,1.71,,
September,,,,,1.50,1.00,0.61,0.65,1.77,1.83,,
October,,,,,0.30,1.26,4.05,5.06,1.59,2.79,,
November,,,,,0.99,2.32,2.25,2.40,1.59,0.57,,
December,,,,,1.59,0.61,1.92,1.89,2.07,3.78,,
Total,,,,,20.59,18.54,20.63,25.54,23.44,22.79,,
Calc annual,0.00,0.00,0.00,0.00,20.59,18.54,20.63,25.54,23.44,22.79,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,,
