DURSLEY (CAM),,,,,,,,,,,,
Grid ref,SO773003,Long,-2.329866,Lat,51.700979,,,,,,,
Station no,2149/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,2.22,,,,,,,,,,
February,4.54,0.58,,,,,,,,,,
March,3.91,2.36,,,,,,,,,,
April,3.34,2.33,,,,,,,,,,
May,2.92,4.01,,,,,,,,,,
June,0.87,2.43,,,,,,,,,,
July,0.87,1.43,,,,,,,,,,
August,5.96,4.90,,,,,,,,,,
September,3.98,2.22,,,,,,,,,,
October,0.62,3.72,,,,,,,,,,
November,7.38,3.23,,,,,,,,,,
December,3.17,2.21,,,,,,,,,,
Total,41.50,31.64,,,,,,,,,,
Calc annual,41.50,31.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
