HEVENINGHAM-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TM350733,Long,1.4457994,Lat,52.307492,Elevation,100,ft,,,,,,,,,,,,
Station no,1368/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.31,0.95,1.85,2.05,3.79,4.9,2.24,5.65,2.41,2.7,2.89,4.12,1.89,2.1,,,,,
February,,0.61,1.6,0.73,3.11,3.06,3.74,0.8,1.07,1.67,1.89,0.89,0.8,1.38,1.71,,,,,
March,,1.67,1.51,2.29,0.65,0.69,3.45,0.57,2.64,3.33,3.26,2.39,0.51,0.51,1.16,,,,,
April,,3.41,0.94,2.3,2.56,1.44,2.69,0.73,3,1.43,1.46,0.83,0.88,1.78,1.88,,,,,
May,,3.38,1.92,2.22,1.84,0.75,3.34,3.12,1.39,0.18,2.45,2.08,1.13,0.92,2.64,,,,,
June,,0.13,2.02,0.99,2.27,3.82,1.24,0.91,1.69,0.71,0.72,0.72,2.05,0.91,2.21,,,,,
July,,3.64,0.76,1.74,0.95,4.74,1.45,1.25,2.52,4.38,1.44,2.66,0.85,2.1,1.21,,,,,
August,,1.88,0.82,2.44,1.51,1.14,2.42,0.46,3.06,0.44,3.63,1.28,1.55,1.47,3.62,,,,,
September,,1.4,3.52,1.69,4.09,3.18,2.61,2.45,0.9,1.29,0.26,2.05,3.2,3.03,1.58,,,,,
October,,4.3,2.66,1.6,3.08,3.06,2.29,3.13,10.27,2.71,2.69,4.26,2,4.46,1.61,,,,,
November,,1.21,2.8,2.08,4.73,3.51,1.8,3.04,5.27,6.66,2.74,4,2.98,5.27,1.9,,,,,
December,,0.9,0.76,4.18,2.7,1.84,4.09,3.41,2.2,1.91,1.19,3,1.66,1.68,2.93,,,,,
Total,,23.84,20.26,24.11,29.54,31.02,34.02,22.11,39.66,27.12,24.43,27.05,21.73,25.4,24.55,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 Total corrected,,,,,,,,,,,,,,,,,,,,
