CLOSEBURN WALLACE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX902924,Long,-3.726464,Lat,55.214052,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.1,2.5,3,3.1,5.1,6,3.1,5.2,6.5,3.7,2.8,6.7,4,6.3,6.4,4.7,1,9.7,8.4,4.6,6.1,1.3,9.3,3.4,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1,3.5,2.4,0.7,4.7,2.8,3.8,1.6,2,4.5,4,5,1.7,5.5,5.3,5.2,6,5.8,0.8,2.7,0.3,4.6,2.8,2.1,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.4,1.1,4,1.7,4.1,3.3,4.1,2.5,1.7,2.8,1.3,4.8,2.1,6.4,0.4,1,3.2,2.6,2.5,2.4,0.4,3.6,1.8,0.8,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.5,2.1,2.2,2.6,3.3,0.7,0.2,3,3.1,1.7,0.2,1.8,3.5,3.2,2,0.7,2.8,0.9,0.1,2.6,0.3,2,3.4,2,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.6,2,2.2,3.7,0.5,2,0.5,3.3,2.8,0.5,4.6,1.2,2.3,4,0.3,2.8,0.3,2.5,0.8,0.6,0.3,0.4,3.2,3.5,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.5,3.4,2.1,3.7,1.6,3.8,2.5,3.8,4.7,2.3,0.5,1.7,1.5,0.2,1.5,0.6,2.5,5.6,0.9,0.1,3.7,3.4,3,1.1,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.5,2.8,2,2.1,3.53,2,2,4,4.2,0.2,1.8,1.9,1.6,2.8,0.2,1.6,0.7,3.8,3.4,6.4,2,1,1.1,3.6,0,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,4,2.5,3.5,2,,2.2,5.3,8,4.2,3.2,0.4,5,4.1,3.3,4.8,0.9,2.8,1.1,2.7,4.8,4.3,2.2,3.5,3.8,2.5,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.4,0,2.2,2.3,3.5,4,1,4.5,1.8,4.8,6.3,0.3,4.5,3.5,2.6,6.8,2.2,2.3,4.5,3.7,3.7,4.5,2.5,2.5,4.5,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,3.8,5,2.3,3.4,5.8,3.3,6.1,4,8.2,4.4,4.7,5.8,3.2,4.3,3.8,0.7,6.4,4.1,4.3,5.4,9.8,4.7,5,5,3.2,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.8,1.7,0.7,2.5,2.5,3,2.4,4.6,1.6,4.8,5.8,4.8,3.3,0.3,3.8,4.1,2.8,1.7,6.4,2.1,4,3.1,3.7,8.5,1.2,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,4.4,3,5.9,4.1,4.3,5,5.1,4,6,3.4,5.6,3.6,4.6,2,7.9,7.6,2,4.5,9.9,2,2,3.5,8.5,3.4,2,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,23.1,31.2,32.3,,38.8,40.5,43.3,45.4,41.6,40.1,34.8,42.5,31.3,48.7,37.6,31.9,33.3,58.3,37.9,38.8,30.1,39.6,50.3,26.3,,,,,,,,,,,,,,,,,,,,,,,
