HONITON-GITTISHAM-(THE COTTAGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY135984,Long,-3.2279,Lat,50.7793,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1819/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,4.77,3.97,5.02,2.63,3.24,7.64,6.79,3.68,5.36,0.96,7.23,1.93,6.31,0.7,2.58,1.27,4.09,4.01,,,,,
February,,,,,,,,2.53,1.88,2.69,4.01,2.73,4.92,2.94,3.79,2.78,4.09,1.91,2.64,6.62,4.91,6.26,2.9,7.39,5.4,,,,,
March,,,,,,,3.33,5.48,1.98,2.21,2.1,1.23,3.71,4.24,0.71,1.46,4.48,2.85,2.03,0.44,1.69,3.79,0.81,1.35,,,,,,
April,,,,,,,2.2,2.83,2.87,1.35,0.54,5.41,2.66,1.23,2.5,1.47,3.92,7.9,5.37,4.67,2.09,1.58,6.11,1.53,,,,,,
May,,,,,,,1.93,4.57,1.07,5.9,1.92,0.52,2.15,1.18,1.25,3.17,0.45,4.14,5.98,4.02,1.14,0.99,2.2,1.61,1.19,,,,,
June,,,,,,,1.46,1.18,1.76,0.45,0.46,2.8,4.22,1.2,1.89,2.91,1.34,1.15,2.29,7.26,1.56,4.32,4.78,2.07,3.4,,,,,
July,,,,,,,2.76,4.46,0.59,0.95,0.89,5.47,4.75,2.26,1.17,5.32,0.89,3.05,1.54,4.05,5.07,2.2,4.37,3.46,4.34,,,,,
August,,,,,,,2.13,1.83,5.6,0.9,1.21,1.76,1.51,5.08,3.3,2.52,3.15,4.87,4.7,6.36,0.36,5.28,3.38,1.17,1.67,,,,,
September,,,,,,,9.29,2.58,6.29,4.35,2.05,5.62,2.81,2.47,5.8,3.69,7.78,2.8,2.29,3.32,4.58,2.25,4.37,6.88,2.43,,,,,
October,,,,,,,3.47,4.91,3.42,2.73,5.88,4.54,6.98,1.65,5.87,8,4.52,2.21,3.67,1.34,6.09,3.51,8.43,3.88,0.89,,,,,
November,,,,,,,2,1.84,5.48,1.83,3.25,1.62,5.84,4.77,3.88,5.5,5.75,6.72,3.45,0.24,3.54,5.51,4.54,3.78,1.74,,,,,
December,,,,,,,2.8,2.33,7.53,4.58,3.32,3.31,8.1,0.42,5.37,1.02,10.31,2.05,3.86,1.06,4.02,3.32,5.97,1.07,3.01,,,,,
Total,,,,,,,,39.31,42.44,32.96,28.26,38.25,55.29,34.23,39.21,43.2,47.64,46.88,39.75,45.69,35.75,41.59,49.13,38.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1884 Mar, Apr Gauge destroyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
