CARSHALTON-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ278663,Long,-0.164976,Lat,51.381371,Elevation,84,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,103/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.57,1.88,1.19,4.32,4.85,2.22,4.38,2.34,2.24,2.54,5.31,1.48,1.71,1.52,1.61,3.11,0.92,0.89,2.72,1.99,0.88,1.18,2.3,3.54,1.53,1.87,2.08,1.92
February,,,2.58,0.32,3.16,2.11,4.17,0.66,1.53,1.6,2.03,0.6,2.02,0.75,1.3,2.33,1.19,1.31,1.12,4.39,7.29,0.96,1.06,2.07,1.5,0.27,2.77,2.04,0.05,1.66
March,,,2.45,2.14,0.2,0.99,3.57,0.82,1.46,3.38,3.07,1.96,0.25,0.03,0.97,1.12,5.19,0.85,0.75,0.85,3.01,2.29,0.45,1.8,1.06,0.93,0.69,0.94,2.18,1.85
April,,,0.74,2.9,2.82,1.88,2.33,0.13,2.53,1.66,1.23,1.22,0.89,1.24,1.09,2.24,1.84,1.1,1.89,3.02,2.5,1.26,2.3,0.31,0.29,1.11,0.24,1.26,2.05,0.89
May,,,2.98,0.69,1.19,0.48,2.53,1.7,1.37,1.12,1.62,3.17,2.48,0.48,3.13,3.66,1.31,1.73,2.32,1.55,2.03,2.31,1.33,2.72,3.7,0.38,1.32,2.54,0.78,1.82
June,,,1.41,0.8,4.21,2.6,2.04,0.42,1.33,0.3,2.42,1.29,1.15,2.19,1.26,1.77,2.62,2.03,0.83,1.34,0.97,1.74,1.31,3.3,1.63,2.21,1,4.79,0.72,0.97
July,,,1.48,1.93,1.16,2.98,0.7,1.47,2.61,2.31,4.25,2.1,1.46,2.58,3.05,1.77,1.61,0.9,0.82,3.21,2.11,0.67,3.81,2.63,0.24,4.95,2.44,2.8,1.48,2.93
August,,,0.56,2.26,2.36,0.66,3.4,2.89,3.86,0.04,4.12,1.68,1.7,2.55,1.63,4.47,0.18,3.56,1.22,1.51,2.84,2.68,1.25,2.41,1.55,3.43,2.99,3.29,1.1,2.6
September,,,2.39,1.18,2.85,2.65,2.22,2.35,1.76,1.23,0.55,1.4,1.44,2.82,1.49,3.22,1.35,1.18,0.5,2.49,2.86,3.18,2.49,1.88,1.88,1.9,2.55,4.55,0.07,3.16
October,,5.22,1.77,1.44,3.3,2.14,3.03,2.31,5.3,2.65,0.85,4.2,2.68,3.55,2.37,0.72,0.16,1.99,5.62,0.38,0.94,2.37,3.37,1.9,3.19,1.18,1.65,3.01,2.18,4.99
November,,0.99,1.01,2.1,4.57,3.56,1.49,3.28,4.53,7.37,2.7,2.06,1.03,3.72,0.27,3.66,1.08,1.54,2.44,4.8,5.39,2.81,1.13,4.84,0.6,0.51,2.61,1.59,3.65,4.07
December,,0.45,0.43,5.65,3.43,2.8,4.22,3.22,1.22,1.07,1.85,2.57,1.76,1.98,3.46,2.59,2.39,3.12,1.06,1.55,2.15,2.12,0.56,1.8,1.94,2.57,1.95,2.65,3.69,2.67
Total,,,19.37,23.29,30.44,27.17,34.55,21.47,31.88,25.07,26.93,24.79,22.17,23.37,21.73,29.07,20.53,22.42,19.49,25.98,34.81,24.38,19.94,26.84,19.88,22.98,21.74,31.33,20.03,29.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 To take place of 103 (Carshalton Sewage Works) A new gauge on a new site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
