NORTON-SUB-HAMDON-LITTLE-NORTON,,,,,,,,,,
Grid ref,ST480157,Long,-2.74144,Lat,50.9391,Elevation,180,ft,,
Station no,2060/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.29,3.3
February,,,,,,,,,0.17,3.4
March,,,,,,,,,3.1,1.85
April,,,,,,,,,2.8,2.48
May,,,,,,,,,0.92,1.16
June,,,,,,,,,0.64,1.15
July,,,,,,,,,1.1,2.94
August,,,,,,,,,2.11,5.06
September,,,,,,,,,0.05,4.42
October,,,,,,,,,3.05,8.65
November,,,,,,,,,5.37,3.76
December,,,,,,,,,7.26,3.41
Total,,,,,,,,,30.86,41.58
,,,,,,,,,,
Post 1960 known as Little Norton SRC_ID 9294,,,,,,,,,,
1959-1975,,,,,,,,,,
