DUNOON REDHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS172768,Long,-4.929137,Lat,55.949357,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,6.44,5.25,13.21,9.24,7.34,9.97,7.54,12.16,10,11.38,8.34,6.18,7.33,7.24,6.96,11.86,3.84,10.94,7.29,10.75,15.6,8.07,11.79,9.37,8.83,13.02,16.39,18.54,3.83,
February,,1.42,3.09,11.32,7.45,7.28,6.94,6.73,7.61,6.26,9.87,14.26,6.64,7.43,9.02,8.26,9.23,1.73,12.24,1.64,10.89,2.59,9.07,8.01,2.17,6.6,10.82,5.31,8.7,4.1,
March,,0.65,9.08,13.38,5.59,8.1,7.37,9.42,7.8,2.5,4.25,2.71,10.03,10.21,8.4,4.97,2.38,4.24,2.98,6.87,7.3,11.31,3.54,4.58,1.5,5.07,9.37,6.74,7.18,2.55,
April,,3.02,2.22,3.8,10.35,5.21,3.32,4.34,3.18,6.48,7.64,6.84,5.19,5.47,5.85,5.69,6.3,2.77,1.39,4.17,3.46,2.39,4.29,6.02,5.35,10.85,4.27,7.02,4.08,2.04,
May,,2.13,3.57,4.93,5.49,3.22,7.21,6.69,3.99,4.49,4.18,5.35,3.52,5.52,3.56,1.85,5.77,5.4,5.35,2.27,9.56,4.99,7.42,4.15,6.7,11.91,5.52,3.86,2.54,6.26,
June,,6.71,1.6,3.08,3.47,2.41,2.15,8.07,4.87,3.19,2.41,4.05,8.45,5.88,1.92,2.89,2.36,3.66,2.52,6.07,3.49,0.77,4.42,3.21,5.53,2.28,3.74,6.57,9.15,4.39,
July,5.24,2.59,3.34,6.77,4.24,4.87,4.86,4.02,6.29,6.54,5.2,4.98,4.07,1.61,3.2,5.1,2.8,2.17,4.18,2.38,5.7,6.89,5.36,7.93,6.45,2.81,5.07,5.81,6.27,7.05,
August,7.44,8.08,6.15,12.3,6.84,8.31,6.69,10.95,6.95,4.4,11.49,7.19,5.52,3.28,8.12,2.39,5.8,6.07,4.96,5.04,7.29,9.39,6,9.78,6.46,6.78,7.69,6.65,7.93,8.44,
September,7.56,7.11,8.3,5.93,8.51,4.07,4.45,2.71,12.83,3.19,2.6,4.38,4.71,3.63,4.9,1.93,3.27,6.58,9.15,7.06,5.99,4.14,5.61,13.66,10.1,5.98,6.61,11.95,6.95,3.3,
October,9.62,11.44,5.67,13.47,6.3,6.94,11.27,7.34,2.57,11.68,4.44,6.38,9.42,5.55,2.98,3.79,11.52,14.66,10.78,2.12,2.78,7.83,4.76,12.45,7.36,7.78,11.72,12.43,13.58,12.6,
November,9.84,9.42,6.49,7.27,7.06,9.26,7.93,7.69,7.09,5.62,4.65,10.65,8.87,11.53,10.14,3.81,8.48,15.42,10.99,6.3,9.44,5.7,8.36,9.05,7.59,1.76,12.5,12.83,15.22,12.79,
December,13.99,8.94,8.33,8,9.11,7.95,8.78,11.72,10.39,10.85,7.51,11.53,18.58,7.78,10.11,8.45,7.93,5.18,9.92,12.69,6.29,15.61,7.92,8.89,12.84,6.31,6.07,2.09,10.44,18.4,
Total,,67.95,63.09,103.46,83.65,74.96,80.94,87.22,85.73,75.2,75.62,86.66,91.18,75.22,75.44,56.09,77.7,71.72,85.4,63.9,82.94,87.21,74.82,99.52,81.42,76.96,96.4,97.65,110.58,85.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Valuation Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
