"DUNOON REDHURST",,,,,,,,,,,,
Grid ref,NS172768,Long,-4.929137,Lat,55.949357,,,,,,,
Station no,RR4204,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.84,6.44,5.25,13.21,9.24,7.34,9.97,7.54,12.16,10.00,,
February,5.17,1.42,3.09,11.32,7.45,7.28,6.94,6.73,7.61,6.26,,
March,0.18,0.65,9.08,13.38,5.59,8.10,7.37,9.42,7.80,2.50,,
April,6.58,3.02,2.22,3.80,10.35,5.21,3.32,4.34,3.18,6.48,,
May,6.24,2.13,3.57,4.93,5.49,3.22,7.21,6.69,3.99,4.49,,
June,4.92,6.71,1.60,3.08,3.47,2.41,2.15,8.07,4.87,3.19,,
July,5.24,2.59,3.34,6.77,4.24,4.87,4.86,4.02,6.29,6.54,,
August,7.44,8.08,6.15,12.30,6.84,8.31,6.69,10.95,6.95,4.40,,
September,7.56,7.11,8.30,5.93,8.51,4.07,4.45,2.71,12.83,3.19,,
October,9.62,11.44,5.67,13.47,6.30,6.94,11.27,7.34,2.57,11.68,,
November,9.84,9.42,6.49,7.27,7.06,9.26,7.93,7.69,7.09,5.62,,
December,13.99,8.94,8.33,8.00,9.11,7.95,8.78,11.72,10.39,10.85,,
Total,88.62,67.95,63.09,103.46,83.65,74.96,80.94,87.22,85.73,75.20,,
Calc annual,88.62,67.95,63.09,103.46,83.65,74.96,80.94,87.22,85.73,75.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
