BEDFORD-KIMBOLTON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TL054504,Long,-0.46123096,Lat,52.141848,Elevation,120,ft,,,,,,,,,,,,
Station no,1179/1/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.83,1.13,2.02,,,,,,,,,
February,,,,,,,,,1.69,1.98,0.72,,,,,,,,,
March,,,,,,,,,2.52,1.66,1.98,,,,,,,,,
April,,,,,,,,,1.68,2.7,0.78,,,,,,,,,
May,,,,,,,,,0.89,4.22,1.51,,,,,,,,,
June,,,,,,,,,3.09,-999,1.81,,,,,,,,,
July,,,,,,,,,3.91,-999,2.46,,,,,,,,,
August,,,,,,,,,2.45,-999,1.6,,,,,,,,,
September,,,,,,,,,0.89,2.66,0.64,,,,,,,,,
October,,,,,,,,,0.48,2.92,1.39,,,,,,,,,
November,,,,,,,,,3.01,0.89,2.06,,,,,,,,,
December,,,,,,,,,1.52,1.16,0.69,,,,,,,,,
Total,,,,,,,,,22.96,24.72,17.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1889 Jun-Aug -999 (5.40),,,,,,,,,,,,,,,,,,,,
