"BEDFORD (KIMBOLTON RD)",,,,,,,,,,,,
Grid ref,TL055505,Long,-0.459739,Lat,52.142727,,,,,,,
Station no,1179/1/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.32,3.17,2.36,,
February,,,,,,,,2.35,0.10,2.12,,
March,,,,,,,,1.81,2.64,1.64,,
April,,,,,,,,0.71,1.56,0.31,,
May,,,,,,,,1.68,0.68,1.39,,
June,,,,,,,1.64,4.89,0.73,2.19,,
July,,,,,,,1.75,2.45,2.64,3.97,,
August,,,,,,,2.16,2.56,0.54,2.70,,
September,,,,,,,3.26,2.45,0.04,3.95,,
October,,,,,,,1.46,1.81,1.71,3.99,,
November,,,,,,,1.40,1.62,1.58,2.97,,
December,,,,,,,2.23,2.45,2.87,2.99,,
Total,,,,,,,,27.10,18.26,30.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,13.90,27.10,18.26,30.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
