BRIDGNORTH-STANMORE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO742922,Long,-2.3817187,Lat,52.527055,Elevation,296,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2292/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.86,3.32,3.02,2.92,6.2,2.96,3.47,3.2,4.58,2.38,1.78,2.74,2.24,4.79,1.32,0.58,2.07,2.12,0.61,1.11,2.42,3.06,1.51,2.12,3.24,5.79
February,,,,,2.31,2.08,3.68,0.47,0.84,2.45,2.41,0.87,1.39,1.53,1.62,2.33,1.28,1.66,0.66,4.63,2.14,0.46,1.51,2.1,1.38,0.42,2.28,3.8,0.22,2.76
March,,,,,0.58,3.39,2.21,0.26,1.54,1.47,2.75,2,0.9,0.64,1.24,0.74,5.34,1.15,1.74,0.9,4.82,1.42,0.84,2.2,3.07,1.24,1.82,0.93,1.92,1.21
April,,,,,3.39,1.93,2.27,0.08,1.5,2.92,1.39,1.36,1.19,1.49,0.96,1.73,2.05,2.2,2.14,1.78,2.01,2.04,2.87,0.42,1.14,1.63,0.13,0.4,3.42,1.01
May,,,,,1.36,1.06,2.05,1.54,1.42,2.44,2.73,3.82,3.07,1.34,3.19,2.81,3.17,1.78,3.03,1.36,3.28,2.56,2.1,2.82,4.7,0.53,1.38,2.35,1.31,2.06
June,,,,,3.43,2.48,1.42,1.7,1.15,0.78,2.59,1.71,1.62,1.27,2.81,1.96,1.33,2.44,0.62,2.05,0.79,2.14,1.62,2.65,3.27,1.91,1.95,4.06,1.49,2.02
July,,,,,0.67,6.45,3.07,2.66,4.45,2.71,2.17,1.46,1.33,1.8,1.71,1.34,4.86,1.18,1.73,2.1,1.28,1.08,2.17,2.2,1.54,1.96,4.12,3.56,1.72,3.84
August,,,,,1.34,0.54,0.97,5.19,1.2,0.19,2.92,1.54,1.69,3.15,2.84,6.23,1.06,4.51,1.22,3.12,3.88,4.11,2.46,3.5,0.93,4.49,3.53,3.61,1.36,3.28
September,,,,,3.77,2.76,2.37,1.53,0.69,0.92,1.39,1.43,2.53,2.45,1.6,4.33,0.98,2.33,1.11,3.79,1.64,1.31,2.39,2.06,2.03,2.96,4,4.22,0.06,4.99
October,,,,,3.03,1.67,2.66,2.6,3.39,3.79,1.85,1.83,2.07,3.54,3.41,0.67,0.53,2.29,4.76,0.59,0.7,3.95,1.66,2.81,1.39,1.91,1.36,3.15,2.46,5.52
November,,,,,4.79,2.29,1.32,3.45,4.79,6.11,2.7,0.88,2.11,4.03,0.32,4.68,1.84,1.41,2.42,3.69,6.27,2.44,1.69,6.06,2.06,0.65,2.32,1.56,3.38,4.51
December,,,,,2.68,2.99,2.14,3.01,1.69,1.59,1.42,2.92,0.95,1.62,2.92,2.99,2.17,4.87,1.2,1.96,2.46,2.47,1.27,1.83,2.4,2.52,1.12,2.3,4.55,2.95
Total,,,,,28.21,30.96,27.18,25.41,28.86,28.33,27.79,23.02,23.43,25.24,24.4,32.55,26.85,30.61,21.95,26.55,31.34,26.1,21.19,29.76,26.33,23.28,25.52,32.06,25.13,39.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is Stanmore Hall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
