READING-EARLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU741736,Long,-0.93489485,Lat,51.456539,Elevation,150,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.03,2.48,1.06,0.55,1.15,2.41,2.23,0.45,1.65,0.77,3.56,2.57,1.13,0.73,2.67,2.57,0.48,3.7,0.93,1.51,0.77,1.77,0.92,3.95,,,,,,,
February,,,,,,,,,,1.71,0.75,0,1.06,2.51,1.62,0.06,0.42,3.16,1.09,2.54,3.08,0.91,1.1,0.56,2.98,0.43,1.87,1.46,0.86,0.31,2.99,1.54,1.68,,,,,,,
March,,,,,,,,,,1.65,1.08,0.96,0.78,0.33,1.1,1.37,3.26,4.24,0.9,0.7,0.74,1.47,1.84,3.7,1.08,3.66,1.23,0.99,2.57,3.15,0.85,1.45,3.43,,,,,,,
April,,,,,,,,,,1.89,1.87,0.7,0.45,0,1.93,1.21,0.47,1.59,1.3,2.47,0.66,2.13,0.88,1.94,1.02,1.6,0.58,2.64,4.35,2.04,1.5,1.56,0,,,,,,,
May,,,,,,,,,,1.35,1.38,2.57,0.63,0.89,1.21,0.59,0.25,1.04,2.28,1.27,1.11,0.5,2.39,3.66,3.28,1.85,2,1.37,1.33,1.56,1.47,2.66,1.3,,,,,,,
June,,,,,,,,,,1,1.87,0.77,0.73,0.63,2.18,0.43,2.54,2.08,1.26,0.58,2,1.43,2.52,5.35,0.97,3.25,2.35,2.41,1.05,4.16,4.1,1.43,3.17,,,,,,,
July,,,,,,,,,,1.48,4.34,2.3,2.73,2.63,3.08,2.99,0.53,0.54,0.23,1.66,0.79,2.38,0.87,2.75,1.38,0.9,0.16,2.51,1.52,2.55,1.78,0.48,1.34,,,,,,,
August,,,,,,,,,,1.56,2.71,5.47,3.86,1.45,3.19,2.45,2.31,2.49,0.95,1.35,2.15,1.82,3.43,3.62,2.93,2.32,0.58,1.43,2.61,1.9,2.16,0.62,4.66,,,,,,,
September,,,,,,,,,,1.45,0.72,1.75,3.65,0.84,2.27,1.26,5.82,1.71,0.89,2.01,0.4,1.44,0.94,1.74,1.5,1.23,0.8,0.85,1.86,2.44,0.25,1.1,2.25,,,,,,,
October,,,,,,,,,,3.14,0.3,8.39,3.42,2.85,4.39,2.94,2.25,1.1,3.55,1.53,1.61,2.07,1.51,7.12,1.63,1.15,4.58,5.07,1.28,4.32,3.01,2.36,2.62,,,,,,,
November,,,,,,,,,,0.98,1.75,2.41,1.96,2.01,5.39,3.76,0.92,0.45,2.47,3.4,2.5,0.33,2.29,1.9,1.75,2.98,3.36,2.11,0.91,0.5,3,3.15,1.85,,,,,,,
December,,,,,,,,,,1.18,,3.69,0.96,2.59,2.05,2,3.22,2.13,2.29,1.21,2.23,3.27,1.06,2.1,2.48,0.78,2.28,3.42,2.24,2.66,4.25,6.05,2.29,,,,,,,
Total,,,,,,,,,,18.42,,30.07,20.78,17.88,30.82,21.29,22.44,22.18,17.98,22.28,19.84,18.88,19.56,37.11,23.57,20.63,23.49,25.19,22.09,26.36,27.13,23.32,28.54,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Suton Seed Trial grounds on London Road, Reading at about 800 yards from St Bartholomews church, as noted on the record. The Observer, M J Sutton, is assumed to be Martin John Sutton one of the family that ownd Sutton seeds. Could be +/- 500m or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
