RISHWORTH RINGSTONE RES WEST,,,,,,,,,,
Grid ref,SE044176,Long,-1.9345,Lat,53.6551,Elevation,940,ft,,
Station no,3213/9,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.44,4.17,,,,,,,
February,,0.45,4.44,,,,,,,
March,,2.91,3.47,,,,,,,
April,,5.26,1.61,,,,,,,
May,,5.22,2.41,,,,,,,
June,,0.85,3.01,,,,,,,
July,,3.96,3.44,,,,,,,
August,,2.24,1.24,,,,,,,
September,,4.66,1.75,,,,,,,
October,,7.88,5.31,,,,,,,
November,,3.78,2,,,,,,,
December,,2.45,0.67,,,,,,,
Total,,46.1,33.52,,,,,,,
