"HOLME MANSE, ORKNEY",,,,,,,,,,,,,,,,,,,,
Grid ref,HY 49815 01877,Long,-2.872732,Lat,58.901262,Elevation,135,ft,,,,,,,,,,,,
Station no,RR18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.39,2.85,2.19,3.17,2.2,2.4,,,,,,,,
February,,,,,,,3.47,2.01,2.4,2.67,1.75,2.78,,,,,,,,
March,,,,,,,1.87,1.02,2.65,5.07,1.05,2.4,,,,,,,,
April,,,,,,,0.75,2.27,1.85,2.55,2.32,2.12,,,,,,,,
May,,,,,,,1.78,0.96,1.16,1.33,1.6,0.9,,,,,,,,
June,,,,,,,1.63,1.07,1.8,1.04,1.18,0.53,,,,,,,,
July,,,,,,,0.8,1.38,1.48,1.9,0.7,2.9,,,,,,,,
August,,,,,,,1.85,1.63,4.52,0.9,0.9,3.8,,,,,,,,
September,,,,,,,2.58,3.41,0.75,5.81,3.21,3.56,,,,,,,,
October,,,,,,,1.7,4.52,5.37,3.04,2.13,2.05,,,,,,,,
November,,,,,,,4.7,1.16,1.28,4.25,3.8,3.85,,,,,,,,
December,,,,,,,2.98,3.76,2.57,3.98,4.7,2.83,,,,,,,,
Total,,,,,,,27.5,26.04,28.02,35.71,25.54,30.12,,,,,,,,
