LONDON-HIGH-HOLBORN,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ309816,Long,-0.11480083,Lat,51.518162,Elevation,74,ft,,,,,,,,,,,,
Station no,RR2317,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,,,,2.68,,,,,,,,,,,,
February,,,,,,,,1.26,,,,,,,,,,,,
March,,,,,,,1.2,1.12,2.45,,0.26,,,,,,,,,
April,,,,,,,1.42,0.24,3.1,,2.83,,,,,,,,,
May,,,,,,,1.16,2.78,1.79,,2.63,,,,,,,,,
June,,,,,,,1.85,1.6,0.35,,2.08,,,,,,,,,
July,,,,,,,3.55,1.85,0.59,,2.51,,,,,,,,,
August,,,,,,,1.51,1.94,0.04,,1.36,,,,,,,,,
September,,,,,,,1.83,0.61,2.73,,2.42,,,,,,,,,
October,,,,,,,2.55,1.65,1.43,,1.81,,,,,,,,,
November,,,,,,,2.1,1.43,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is 50 High Holborn where the observer W Harris & Co was based. Altitude is from OS maps and is ground level; gauge could be on roof.,,,,,,,,,,,,,,,,,,,,
