HORLEY (WORTH PARK NURSERIES),,,,,,,,,,,,
Grid ref,TQ297413,Long,-0.146750,Lat,51.156263,,,,,,,
Station no,109/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,2.83,1.16,1.51,3.57,4.45,2.27,2.87,2.84,3.06,,
February,7.04,0.86,1.55,2.40,1.61,0.48,4.53,2.67,0.06,2.21,,
March,4.04,3.11,0.45,3.02,1.40,0.87,1.32,1.62,2.45,2.04,,
April,2.87,2.10,2.63,0.30,0.34,1.71,0.21,1.16,2.44,0.81,,
May,2.16,1.61,1.62,2.40,4.69,0.28,1.48,2.60,0.53,1.59,,
June,1.98,1.11,1.71,4.10,2.08,2.42,1.50,4.08,0.99,1.72,,
July,1.84,0.74,3.57,2.96,0.17,3.36,3.20,1.57,1.36,3.33,,
August,4.85,3.00,2.11,2.56,1.30,2.99,2.87,2.94,1.24,4.20,,
September,2.94,3.08,4.28,2.55,2.46,2.64,2.70,5.62,0.09,3.67,,
October,1.56,3.16,4.79,2.59,4.51,1.42,1.62,3.12,3.28,6.97,,
November,6.60,3.89,1.91,6.87,1.36,0.99,3.39,1.72,3.32,6.07,,
December,3.57,2.68,0.77,2.43,3.17,4.69,2.66,3.70,6.92,3.73,,
Total,43.26,28.17,26.55,33.69,26.66,26.30,27.75,33.67,25.52,39.40,,
Calc annual,43.26,28.17,26.55,33.69,26.66,26.30,27.75,33.67,25.52,39.40,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
