STRATHBLANE THE MANSE,,,,,,,,,,,,
Grid ref,NS564791,Long,-4.303220,Lat,55.983324,,,,,,,
Station no,RR8787,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,7.03,4.36,7.72,7.19,,
February,,,,,,,4.77,4.99,3.66,2.67,,
March,,,,,,,5.92,6.54,5.32,4.39,,
April,,,,,,,2.33,1.86,1.50,4.56,,
May,,,,,,,6.77,5.49,3.30,4.29,,
June,,,,,,,1.96,6.67,3.77,2.94,,
July,,,,,,,3.42,3.38,4.27,5.39,,
August,,,,,,,4.95,6.97,5.17,4.29,,
September,,,,,,,2.74,2.59,10.09,2.75,,
October,,,,,,,7.53,7.21,2.48,8.39,,
November,,,,,,,4.32,4.67,4.11,3.88,,
December,,,,,,,5.47,8.17,5.71,7.56,,
Total,,,,,,,57.21,62.90,57.10,58.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,57.21,62.90,57.10,58.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
