STRATHBLANE THE MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS564791,Long,-4.30322,Lat,55.983324,Elevation,235,ft,,,,,,,,,,,,
Station no,RR8787,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,7.03,4.36,7.72,7.19,7.7,5.73,4.57,6,4.61,3.72,,,,
February,,,,,,,4.77,4.99,3.66,2.67,5.18,10.15,4.95,4.08,5.84,7.36,,,,
March,,,,,,,5.92,6.54,5.32,4.39,2.92,2.92,7.36,7.8,5.95,3.05,,,,
April,,,,,,,2.33,1.86,1.5,4.56,6.3,4.25,2.38,3.65,3.61,3.88,,,,
May,,,,,,,6.77,5.49,3.3,4.29,2.63,3.23,2.36,4,3.12,1.3,,,,
June,,,,,,,1.96,6.67,3.77,2.94,2.15,3.53,5.5,3.89,1.03,3.4,,,,
July,,,,,,,3.42,3.38,4.27,5.39,6.35,4.05,2.97,1.09,4.31,5.78,,,,
August,,,,,,,4.95,6.97,5.17,4.29,10.57,4.6,4.03,2.16,6.32,3.27,,,,
September,,,,,,,2.74,2.59,10.09,2.75,1.66,2.67,3.33,2.5,3.22,1.65,,,,
October,,,,,,,7.53,7.21,2.48,8.39,2.82,3.34,7.43,2.68,1.79,4.73,,,,
November,,,,,,,4.32,4.67,4.11,3.88,4.23,8.84,5.71,8.15,6.56,3.27,,,,
December,,,,,,,5.47,8.17,5.71,7.56,5.62,9.76,10.92,5.51,7.87,5.5,,,,
Total,,,,,,,57.21,62.9,57.1,58.3,58.13,63.07,61.51,51.51,54.23,46.91,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8787,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
