DOLLAR ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS960981,Long,-3.676261,Lat,56.16418,Ekevation,174,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,7.45,5.28,3.89,3.57,3.85,4.03,6.57,6.05,3.6,2.94,5.25,5.88,,6.4,2.43,8.84,4.54,1.49,2.95,1.01,4.99,5.1,8.17,3.3,4.67,3.23,2.87,2.54,5.65,2.27,2.57,2.05,4.49,2.07,2.35,1.88,2.81,6.78,6.27,2.96,2.79,5.64,2.93,1.55,4.74,2.76,4.61,4.94,4.5,2.01,4.11,3.19,3.11,2.78,5.7,1.98,,
February,,,1.58,0.73,1.99,2.79,6.4,3.88,5,4.02,3.8,6.23,4.1,1.07,,2.2,5.72,4.32,2.74,4.34,3.57,6.28,4.92,3.13,3.43,4.65,1.92,1.79,0.89,2.41,1.11,0.7,1.61,4.63,8.63,1.45,1.85,2.6,2.36,2.43,3.37,0.86,1.68,3.38,3.79,2.18,2.76,3.67,2.02,2.36,3.6,5.67,3.09,2.96,4.14,6,4.78,,,
March,,,4.48,1.23,3.61,2.06,3.78,2.1,4.14,0.43,0.27,3.73,3.21,2.2,,2.2,5.58,2.5,2.17,4.62,2.92,2.91,6.08,1.6,3.28,3.25,3.36,1.8,3.4,0.83,2.58,3.13,0.88,1.16,2.69,4.57,4.53,5.47,1.84,3.46,1.53,2.38,1.87,5.11,1.57,4.43,3.17,4.22,4.69,3.55,2,2.36,4.1,5.33,4.36,2.85,,,,
April,,,3.33,2.2,1.16,0.8,1.81,5.75,4.46,2.04,1.36,6.43,1.5,0.23,,1.15,4.7,3.61,2.27,2.23,4.7,0.72,3.28,1.47,2.06,2.84,1.6,2.56,1.24,3.85,0.95,1.19,1.03,1.03,0.91,1.88,2.35,1.51,2.59,3.33,2.35,2.18,1.39,1.12,5.02,2.56,1.51,1.6,0.9,3.69,3,2.24,0.81,2.86,1.9,2.16,,,,
May,,,3.58,1.33,1.99,2.77,0.85,3.38,2.94,2.12,3.53,1.04,4.87,,,1.5,1.25,2.33,5.22,2.16,1.42,3.43,2.71,2.36,4.91,3.89,4.3,1.35,2.72,2.6,1.27,2.08,2.65,1.63,2.37,0.54,0.7,1.77,2.6,4.65,2.76,1.57,1.61,1.73,3.09,2.57,6.39,4.66,2.97,3.67,1.52,1.33,1.9,3.26,2.98,1.71,,,,
June,,,2.94,1.82,2.42,0.54,2.58,3.14,0.84,2.96,1.98,2.32,5.85,2.93,,2.55,3.14,4.32,3.81,5.27,2.11,2.47,4.71,2.88,0.82,1.89,1.68,0.85,2.95,0.64,3.71,0.61,4.04,2.05,2.99,2.45,3.88,6.19,3.52,1.96,3.19,2.41,1.9,2.76,1.06,0.65,1.8,6.27,1.76,1.51,0.95,0.68,4.85,2.47,0.71,1.74,,,,
July,,,4.52,0,1.57,5.05,4.04,4.79,1.64,2.43,1.88,3.93,3.16,,,2.35,2.82,5.08,0.87,3.74,6.27,7.14,6.79,6.07,6.35,2.33,2.89,2.23,5.7,1.77,3.51,2.72,2.07,2.42,2.96,5.59,4.2,1.73,2.06,3.2,4.01,1.45,3.65,5.64,2.36,3,2.47,3.19,3.74,3.69,4.36,3.12,1.91,0.83,3.7,4.84,4.3,,,
August,,,5.41,4.2,0.82,5.67,6.33,5.38,4.93,1.07,1.42,2.64,3.33,6.07,,2.55,5.39,10.15,4.04,5.93,1.09,4.2,2.45,7.52,1.97,3.16,1.98,3.3,2.65,5.19,2.8,4.97,7.4,2.64,5.25,10.6,1.96,6.17,5.04,1.5,4.28,5.3,3.03,5.49,5.61,3.33,5.61,5.57,3.33,3.56,9.61,2.97,4.64,1.22,3.97,4.2,3.01,,,
September,,,2.9,3.61,5.74,1.15,4.08,3.35,2.89,4.65,4.11,2.74,5.45,4.64,,4.5,3.87,2.24,4.81,5.01,4.4,2.99,3.89,3.04,2.79,6.36,5.17,2.54,0.75,1,4.02,6.41,3.06,1.24,0.08,2.53,5.19,3.47,6.58,3.55,4.91,2.11,2.08,4.11,3.57,1.35,2.77,2.02,7.15,2.27,1.02,1.79,2.89,2.69,1.42,2.46,1.83,,,
October,,,6.02,3.01,5.56,4.96,3.36,5.16,2.81,3.42,4.24,2.94,4.57,4.82,,6.65,6.58,7.07,5.21,2.2,1.42,5.66,5.44,4.68,3.69,2.14,4.69,1.24,1.99,3.83,5.15,3.03,5.64,3.53,2.19,3.03,4.1,1.45,5.36,4.61,4.5,4.03,2.63,8.64,1.54,3.43,6.73,7.1,1.96,4.12,1.85,4.13,4.45,2.31,1.98,3.2,7.31,,,
November,,,1.39,2.75,2.43,2.9,3.65,1.29,3.28,2.62,2.35,3.56,6.58,,,6.15,4.94,6.18,2.37,2.17,5.54,5.57,6.31,6.27,3.81,2.01,1.84,3.6,6.16,1.07,7.6,3.13,2.85,2.05,3.26,4.02,1.12,3.87,5.74,4.33,5.77,3.09,2.49,1.68,1.67,6.37,4.71,2.56,3.35,1.42,3.48,6.84,3.54,5.25,4.24,2.61,5.48,,,
December,,,4.14,2.82,5.44,3.94,6.1,1.62,6.22,4.05,3.07,3.49,5.65,,,5.3,9.58,4.64,2.12,0.53,2.57,3.02,6.35,4.35,7.87,2.6,3.58,1.91,3.69,2.06,2.32,6.59,1.53,4.82,3.39,5.09,5.87,5.87,5.31,5.2,5.99,4.76,4.15,2.58,5.55,3.7,2.37,6.58,2.28,5.96,2.11,4.49,5.77,4.04,7.85,6.63,4.23,,,
Total,,,47.74,28.98,36.62,36.2,46.83,43.87,45.72,35.86,31.61,41.99,53.52,,,43.5,56,61.28,40.17,39.69,38.96,45.4,57.92,48.47,49.15,38.42,37.68,26.4,35.01,27.79,40.67,36.83,35.33,29.25,39.21,43.82,38.1,41.98,45.81,45,48.93,33.1,29.27,47.88,37.76,35.12,45.03,50.2,38.76,40.74,38,37.63,42.06,36.41,40.36,41.18,,,,
