MOTHERWELL (ELVAN STREET),,,,,,,,,,
Grid ref,NS 74665 56847,Long,-4.000373,Lat,55.788624,Elevation,200,ft,,
Station no,5170/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.97,3.98,1.26,4.18,2.2,1.96,4.38,3.64,1.31,2.73
February,2.31,0.99,0.97,2.82,2.29,1.36,2.93,2.18,1.2,2.99
March,2.34,1.85,0.87,2.19,1.77,1.91,2.67,1.01,1.2,1.61
April,2.44,2.21,2.06,1.19,0.8,0.9,1.39,1.34,2.03,2.04
May,1.9,1.56,1.58,3.29,2.85,1.57,2.42,2.35,0.75,1.97
June,2.35,2.21,1.34,2.33,1.09,2.81,1.7,3.04,2.88,1.53
July,2.26,2.04,3.88,2.9,1.44,5.14,3.72,4.72,4.18,2.76
August,4.73,3.61,2.64,4.65,1.11,4.84,3.53,4.49,0.64,2.45
September,2.48,2.51,2.65,5.44,3.06,3.77,2.37,3.26,0.75,1.85
October,0.81,2.78,1.78,8.15,2.22,2.58,3.2,2.83,3.85,2.33
November,5.24,2.59,5.45,5.77,1.44,1.1,1.33,1.39,4.29,4.18
December,5.13,2.89,4.44,4.99,5.64,4.81,3.17,4.97,4.14,4.21
Total,35.96,29.22,28.92,47.9,25.91,32.75,32.81,35.22,27.22,30.65
,,,,,,,,,,
Location based on Valuation Rolls,,,,,,,,,,
Obs 11 Elvan Street Height amended,,,,,,,,,,
,,,,,,,,,,
Station no,5170/5,,,,,,,,,
Midas,13590,,,,,,,,,
Hyd Stn,655971,,,,,,,,,
