CHAGFORD-DENSHAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX684875,Long,-3.86305,Lat,50.67277,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1754/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,10.66,3.23,5.92,6.56,12.8,4.36,4.69,7.72,7.59,12.03,1.39,1.49,6.71,7.2,0.89,,,,,,,
February,,,,,,,,,3.45,5.7,6.83,0.66,3.83,0.86,4.63,5.78,2.95,3.07,2.78,10.68,7.8,1.25,2.48,,,,,,,
March,,,,,,,,,2.37,4.25,6.41,3.65,1.83,0.24,1.47,3.64,11.14,2.97,1.79,2.82,5.76,4.3,1.8,,,,,,,
April,,,,,,,,,3.52,4.26,1.31,3.48,1.59,2.6,1.1,3.08,4.82,3.31,2.87,3.15,3.71,4.03,4.06,,,,,,,
May,,,,,,,,,0.75,1.72,2.86,8.28,6.39,0.74,4.41,6.44,3.55,2.5,3,3.7,3.17,3.64,3.7,,,,,,,
June,,,,,,,,,3.61,0.77,2.08,0.87,1.58,3.01,4.05,2.51,3.2,2.43,0.29,1.16,0.88,1.93,2.1,,,,,,,
July,,,,,,,,,8.09,3.68,0.95,2.2,3.49,2.41,4.7,1.92,2.3,1.66,2.37,4.37,2.82,1.2,,,,,,,,
August,,,,,,,,,3,0.23,5.22,3.09,3.11,4.42,1.98,5.24,0.74,3.32,1.87,6.44,5.9,8.11,,,,,,,,
September,,,,,,,,,0.45,2.17,0.56,3.07,4.74,3.32,2.91,6.91,2.38,2.42,4.61,6.2,4.55,4.4,,,,,,,,
October,,,,,,,,,6.45,5.81,3.03,3.96,5.85,7.47,6.59,4.01,1.51,5.43,11.46,1.64,1.69,7.28,,,,,,,,
November,,,,,,,,,12.6,11.91,4.28,1.51,4.24,10.01,1.02,11.94,4.18,2.75,6.48,10.99,9.89,6.22,,,,,,,,
December,,,,,,,,,3.86,4.54,5,8.98,4.05,5.57,8.62,6.8,5.51,11.55,2.49,5.94,5.94,5.12,,,,,,,,
Total,,,,,,,,,58.81,48.27,44.45,46.31,53.5,45.01,46.17,65.99,49.87,53.44,41.4,58.58,58.82,54.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Terminated Property sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
