MACHNO,,,,,,,,,,,,
Grid ref,SH753476,Long,-3.860096,Lat,53.011139,,,,,,,
Station no,4346/4/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.20,13.00,4.60,7.90,6.90,8.00,19.70,8.00,7.20,13.00,,
February,9.00,4.00,8.30,7.60,3.50,2.35,5.50,13.50,3.80,9.60,,
March,11.70,8.90,6.20,8.00,3.20,1.20,11.00,2.20,6.00,3.30,,
April,8.10,4.80,6.50,4.50,8.50,1.50,1.60,4.50,8.50,5.20,,
May,2.70,1.30,4.30,4.30,7.00,4.50,4.00,8.00,1.00,1.00,,
June,2.70,8.00,7.00,7.60,10.20,4.50,3.60,5.00,3.30,3.60,,
July,3.00,3.60,10.90,15.20,2.60,14.00,14.60,6.50,7.60,8.20,,
August,11.20,6.90,10.50,11.10,3.50,15.20,9.50,7.50,2.20,6.60,,
September,14.00,7.90,9.70,12.00,2.30,7.60,14.50,15.00,1.30,9.50,,
October,2.00,7.80,5.30,24.00,6.10,9.20,18.50,9.50,13.70,2.30,,
November,14.00,5.10,10.60,15.00,3.20,5.50,3.75,3.11,11.30,16.70,,
December,19.00,9.00,4.10,10.50,13.90,9.40,12.60,7.50,18.50,12.60,,
Total,107.60,80.30,88.00,127.70,70.90,82.95,118.85,90.31,84.40,91.60,,
Calc annual,107.60,80.30,88.00,127.70,70.90,82.95,118.85,90.31,84.40,91.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
