LOCH TURRET (UPPER SHAGGIE),,,,,,,,,,,,
Grid ref,NN861292,Long,-3.849032,Lat,56.441181,,,,,,,
Station no,5545/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.60,3.50,1.90,,4.25,4.65,9.40,5.65,3.60,6.05,,
February,6.40,1.70,2.30,,3.20,2.25,8.20,3.50,3.10,6.85,,
March,4.30,4.50,1.80,,4.00,4.40,8.40,4.50,,4.60,,
April,4.60,2.70,3.60,,3.00,1.80,3.25,2.30,-999.00,6.35,,
May,1.80,2.50,2.50,,3.35,4.00,3.60,5.10,1.55,4.80,,
June,10.60,3.25,3.50,4.50,2.80,4.30,2.75,5.80,3.10,3.95,,
July,4.50,2.80,7.20,4.00,1.60,7.25,7.15,6.55,7.50,6.85,,
August,8.20,6.15,3.25,5.50,1.60,6.80,6.90,6.55,2.90,6.65,,
September,5.35,2.50,7.20,7.25,3.90,7.00,4.00,8.25,1.55,6.35,,
October,1.90,5.05,4.15,10.50,5.10,4.50,4.25,5.00,6.60,10.80,,
November,,2.70,,,3.30,1.70,4.30,2.30,11.10,,,
December,,3.80,,,11.65,12.20,10.25,8.00,12.35,,,
Total,,41.15,,,47.75,60.85,72.45,63.50,64.35,,,
Calc annual,54.25,41.15,37.40,31.75,47.75,60.85,72.45,63.50,53.35,63.25,,
Difference,NaN,0.00,NaN,NaN,0.00,-0.00,0.00,0.00,11.00,NaN,,
