"PARKMORE FOREST",,,,,,,,,,,,
Grid ref,ID203207,Long,-6.119700,Lat,55.019377,,,,,,,
Station no,6228/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.27,7.83,3.36,5.65,,
February,,,,,,,3.96,7.91,,6.43,,
March,,,,,,,4.30,2.82,,2.76,,
April,,,,,,,2.09,3.92,,4.66,,
May,,,,,,,2.08,6.14,,3.53,,
June,,,,,,,4.03,6.62,,4.19,,
July,,,,,,,7.43,6.75,4.09,10.01,,
August,,,,,,,5.63,7.47,,6.06,,
September,,,,,,6.55,10.48,6.00,1.45,3.26,,
October,,,,,,5.34,5.46,5.26,6.96,7.76,,
November,,,,,,4.70,3.25,,5.71,6.32,,
December,,,,,,8.00,7.92,,11.41,,,
Total,,,,,,,62.90,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.59,62.90,60.72,32.98,60.63,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,,
