LYME-REGIS-WARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY327918,Long,-2.95441,Lat,50.72212,Elevation,318,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,,4.27,6.58,,3.75,1.14,1.28,4.51,5.75,5.02,3.24,4.88,2.16,4.95,4.88,4.58,3.77,6.19,1.49,5.12
February,,,,,,,,,,0.35,,,3.3,1.17,,5.32,5.56,1.61,2.3,4.27,0.62,0.28,3.21,6.78,1.02,4.47,2.54,3.21,3.21,1.86,1.17
March,,,,,,,,,,5.04,,,5.59,2.84,,0.97,3.37,2.93,2,5.11,3.24,2.03,3.01,1.56,1.59,0.4,0.68,4.24,2.98,0.33,2.12
April,,,,,,,,,,1.91,,,0.42,3.23,,0.94,0.82,1.35,1.67,3.71,4.2,1.17,3.96,2.9,3.05,2.6,3.09,2.42,1.33,0.88,3.07
May,,,,,,,,,,0.99,,,1.9,2.32,,2.35,2.51,2.44,1.85,1.27,1.72,2.11,0.81,1.37,5.44,4.13,1.67,0.92,1.7,2.63,2.31
June,,,,,,,,,,4.07,,,4.14,0.61,,1.45,3.02,1.63,1.12,0.79,2.66,0.6,1.25,0.54,2.7,0,3.56,2.77,1.95,2.54,0.23
July,,,,,,,,,,3.6,,,2.17,0.22,,4.65,0.94,2.79,5.37,2.58,5.99,0.49,5.03,1.04,4.04,3.37,4.84,3.5,1.74,1.68,1.87
August,,,,,,,,,,2.57,,,7.44,1.25,,1.54,4.88,5.04,2.39,3.5,1.44,2.38,4.29,2.26,3.37,3.03,1.47,3.49,2.12,2.71,3.69
September,,,,,,,,,,1.8,,,0.9,4.36,,1.49,2.33,2.64,7.08,1.69,1.81,0.79,2.17,3.73,5.73,3.55,0.92,5.81,1.66,0.69,4.59
October,,,,,,,,,,6.26,,,4.77,4.05,,6.83,6.52,3.79,2.4,2.04,2.16,1.22,1.69,5.58,6.23,4.24,3.46,3.02,7.01,4.96,3.36
November,,,,,,,,,,0.83,,,1.62,3.58,,2.34,4.77,1.16,2.73,2.37,1.35,3.04,2.12,2.22,3.31,3.19,8.48,3.74,2.73,9.07,5.66
December,,,,,,,,,,5.65,,,5.7,1.93,,8.41,4.76,1.24,3.77,5.26,4.04,1.57,4.7,3.87,4.94,5.06,0.53,3.89,3.56,6.37,5.18
Total,,,,,,,,,,,36.57,28.4,42.22,32.14,44.53,40.04,40.62,27.9,37.19,38.34,34.25,18.92,37.12,34.01,46.37,38.92,35.82,40.78,36.18,35.21,38.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large grounds but distances to fruit trees suggests near glasshouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Gauge terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
