DOUGLAS (S. BARRULE QUARRIES),,,,,,,,,,,,,,,,,,,,
Grid ref,SC271770,Long,-4.6495531,Lat,54.159612,Elevation,1000,ft,,,,,,,,,,,,
Station no,4414/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,9.1,7.94,2.15,9.15,9.3,7.75,5.3,7.25,,,,
February,,,,,,,,,4,4.2,4.45,4.4,2.95,2.6,5.95,4.5,,,,
March,,,,,,,,,4.1,6.2,3.9,5.4,1.35,,2.65,1.85,,,,
April,,,,,,,,,2.8,5.66,2.65,2.8,3.5,,3.35,,,,,
May,,,,,,,,,1,1.89,4.95,4.9,4,,4.25,1.6,,,,
June,,,,,,,,7.23,2.7,1.65,0.39,0.5,4.95,,5.3,2.9,,,,
July,,,,,,,,7.4,6.1,5.93,3.6,3.55,3.3,,4.4,,,,,
August,,,,,,,,2.65,2.55,1.75,4.6,7.45,8.4,,1.85,,,,,
September,,,,,,,,5.35,3.8,4.55,3.85,5.1,5.85,,5.45,,,,,
October,,,,,,,,11.8,4.6,5.75,8.25,9.1,5.45,8.45,4.8,,,,,
November,,,,,,,,7.8,6.55,8.4,3.65,1.7,5.2,10.4,0.65,,,,,
December,,,,,,,,6.5,4.72,7.6,4.15,8.7,3.9,5.5,8.85,,,,,
Total,,,,,,,,,52.02,61.52,46.59,62.75,58.15,,52.8,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
"1946 April part estimated, gauge stolen, therefore deleted",,,,,,,,,,,,,,,,,,,,
