"NEWTON STEWART (DUNCREE)",,,,,,,,,,,,
Grid ref,NX407664,Long,-4.489950,Lat,54.966689,,,,,,,
Station no,5012,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.73,4.07,2.25,4.71,4.23,4.03,,,,,,
February,3.50,1.13,1.52,4.90,3.11,1.08,,,,,,
March,3.38,3.62,0.38,4.26,2.47,1.98,,,,,,
April,1.99,2.23,1.88,1.62,,2.16,,,,,,
May,2.08,2.00,2.47,2.90,,1.68,,,,,,
June,2.03,2.84,1.00,4.50,,3.01,,,,,,
July,2.62,2.12,5.08,4.42,,5.26,,,,,,
August,7.34,2.76,3.25,3.56,1.55,6.68,,,,,,
September,5.40,2.86,6.81,7.51,3.70,4.50,,,,,,
October,0.54,4.65,5.19,8.88,2.74,,,,,,,
November,9.14,3.13,6.56,8.95,3.71,,,,,,,
December,7.27,4.97,5.15,7.26,5.94,,,,,,,
Total,50.02,36.38,41.54,63.47,,,,,,,,
Calc annual,50.02,36.38,41.54,63.47,27.45,30.38,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
