CORFE CASTLE CREECH GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY911823,Long,-2.127223,Lat,50.640321,Elevation,228,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,
January,,,,,,,,8.13,,,0.94,2.35,1.9,3.56,4.44,3.56,6.67,4.27,2.01,0.82,5.04,3.7,2.15,2.58,6.03,5.14,1.56,2.16,0.83,,,,,,,,,,,,,1.36,6.51,5.71,1,4.05,1.47,1.14,3.75,7.7,5.76,5.13,5.24,1.97,4.9,5.78,5.87,2.57,7.06,2.04,4.33,2.69,2.87,2.17,3.32,0.76,6.48,6.71,4.55,6.37,4.43,4.98,4.93,7.78,3.25,2.63,4.82,3.77,6.85,1.15,1.05,4.41,2.75,1.1,1.77,4.58,5.03,3.19,4.95,4.64,3.76,,,,,,,
February,,,,,,,,2.04,,,4.53,4.89,1.94,4.16,5.55,6.48,0.78,1.35,0.69,1.8,0.78,0.03,1.94,4.43,4.12,0.02,0.31,4.98,2.89,,,,,,,,,,,,,1.98,3.65,1.77,5.18,5.91,5.86,1.56,1.75,4.02,0.88,0.48,3.53,7.47,0.62,5.57,2.52,3.46,3.2,1.86,0.82,1.92,0.13,4.59,0.07,3.29,4.14,6.93,1.06,2.2,4.95,4.7,0.17,1.04,0.8,2.65,3.21,2.37,1.68,1.5,5.56,7.27,0.84,2.07,3.64,2.33,0.21,4.37,3.47,0.64,3.49,,,,,,,
March,,,,,,,,3.54,,,1.63,3.71,0.71,1.26,3.47,2.1,6.44,1.44,4.69,2.63,1.41,2.78,0.64,0.2,2.39,2.77,2.9,5.15,1.17,,,,,,,,,,,,,2.96,5.15,2.6,6.22,1.4,4.69,3.38,1.71,6.16,2.84,1.56,3.41,1.89,1.71,0.46,0.77,3.76,3.54,0.08,1.15,1.36,2.22,3.7,3.32,1.21,4.32,4.33,0.43,1.16,3.86,4.54,3.54,0.96,0.5,1.29,1.47,8.43,1.21,1.47,1.91,5.09,3.96,0.59,4.8,1.36,0.94,3.54,1.68,3.5,2.35,,,,,,,
April,,,,,,,,5.3,,,2.49,0.57,5.65,1.05,3.36,2.53,2.39,0.96,2.04,1.77,3.12,0.75,0.88,0.1,2.39,2.56,0.39,3.09,1.38,,,,,,,,,,,,,1.82,0.01,3.19,1.48,1.4,0.54,1.41,1.86,2.19,3.76,0.89,3.77,4.33,3.07,2.98,4.74,2.63,1.93,1.03,2.72,1.92,3.07,2.3,2.03,3.86,1.89,3.07,0,2.63,1.74,1.83,1.84,1.09,2.34,0.82,2.93,2.45,1.7,1.98,2.78,2.89,2.02,2.56,0.19,1.02,2.23,0.19,0.61,2.92,2.39,,,,,,,
May,,,,,,,,2.66,,,0.71,1.05,3.05,2.71,1.48,3.88,5.47,1.96,2.15,1.22,2.08,1.77,0.95,0.69,1.62,0.02,0.16,1.87,4.21,,,,,,,,,,,,,1.58,1.73,2.12,1.19,3.06,1.93,3.24,2.33,0.81,1.91,2,1.13,2.21,4.24,4.42,2.51,1.31,1.12,2.53,3.3,3.7,3.03,1.8,0.81,1.46,1.26,4.23,1.77,1.31,1.59,3.12,4.26,2.89,0.42,2.07,3.66,2.35,2.26,2.47,1.69,3.2,2.87,3.09,1.31,4.64,0.55,2.01,2.54,0.82,2.12,,,,,,,
June,,,,,,,,0.91,,,1.78,2.57,4.71,2.08,4.78,3.32,1.26,1.11,3.26,2.41,2.87,2.53,0.91,0.95,2.05,2.48,2.78,2.91,1,,,,,,,,,,,,,1.98,3.64,0.45,0.75,0.73,1.85,1.9,0.86,0.62,3.21,0.68,1.14,0.43,2.25,0.04,3.41,3.4,2.21,1.73,0.56,2.69,2.67,0.83,1.64,5.56,1.76,0.52,0.51,2.61,0.27,1.86,0.59,1.12,2.66,3.68,4.17,2.13,2.76,0.47,1.45,0.55,1.36,1.97,2.59,2.88,2.5,1.19,2.95,1.44,1.81,,,,,,,
July,,,,,,,,3.93,,,2.99,1.95,2.7,3.21,4.19,0.7,4.71,1.06,3.95,2.6,3.13,2.24,3.31,5.54,5.97,3.36,0.94,1.01,0.41,,,,,,,,,,,,,0.34,2.59,0.97,4.09,4.93,1.63,3.15,3.79,2.2,5.99,0.58,5.08,1.03,3.75,3.83,1.66,2.25,1.68,1.45,1.89,4.31,3.37,2.31,0.14,0.27,5.13,2.83,2.18,4.97,3.65,1.75,1.89,3.3,3.8,1.36,1.5,1.37,1.72,0.67,6.82,1.19,0.96,3.94,4.43,1.06,4.67,3.36,2.42,2.05,4.26,,,,,,,
August,,,,,,,,4.45,,,2.64,6.27,3.8,0.85,2.15,1.4,1.51,2.91,3.52,3.64,3.09,6.9,3.21,1.21,3.05,2.99,1.59,4.06,1.75,,,,,,,,,,,,,0.54,7.1,2.42,3.92,1.62,5.34,5.98,2.79,3.69,1.78,2.65,4.52,2.3,2.84,3.6,0.94,4.17,2.49,2.02,3.42,4.26,1.09,0.57,4.28,3.68,0.33,1.88,2.4,2.73,0.02,5.28,4.94,1.81,3.4,2.74,4.14,1.23,3.9,1.09,3.42,6.03,2.74,2.49,3.47,0.97,3.52,3.39,3.83,1.57,5.45,,,,,,,
September,,,,,,,,2.77,,,4.38,3.63,3.21,5.39,2.96,5.43,4.66,4.45,2.21,1.18,1.37,1.51,3.51,2.45,3.75,0.12,11.6,3.21,1.5,,,,,,,,,,,,,1.41,2.72,3.25,2.23,2.34,2.61,1.91,7.31,1.82,1.55,0.98,2.11,3,4.26,4.16,0.76,7.66,2.43,0.4,3.61,2.07,3.86,3.45,3.27,5.37,3.13,3.58,2.98,1.91,1.78,1.07,3.77,2.1,2.4,3.88,4.99,1.79,3.18,7.3,4.97,4.54,6.55,2.98,4.2,2.18,5.91,3.95,5.14,0.34,7.05,,,,,,,
October,,,,,,,,3.24,,,8.63,2.73,10.38,2.74,2.69,6.46,5.67,2.52,2.79,6.92,0.85,8.1,5.31,5.16,4.08,3.93,3.75,1.16,5.14,,,,,,,,,,,,,5.78,4.54,5.41,3.95,6.55,6.05,6.05,2.56,1.6,2.79,1.41,2.12,6.36,5.84,4.77,5.09,3.1,8.52,4.8,2.6,0.88,6.64,1.72,1.93,7.6,2.42,5.24,4.81,7.01,5.43,1.58,5.19,4.81,4.98,4,1.78,1.91,2.42,7.08,1.5,1.63,5.59,3.07,4.03,5.69,2.2,3.16,3.41,4.56,11.21,,,,,,,
