TONBRIDGE-LONDON-ROAD-OAK-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ572483,Long,0.24924725,Lat,51.212271,Elevation,105,ft,,,,,,,,,,,,
Station no,RR8354,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.53,1.23,2.88,1.02,2.55,4.19,,,,,,
February,,,,,,,,,1.18,0.41,4.2,1.43,1.88,1.06,,,,,,
March,,,,,,,,,2.43,3.7,1.55,2.65,3.97,2.81,,,,,,
April,,,,,,,,,2.44,1.65,1.81,2.3,0.16,3.02,,,,,,
May,,,,,,,,,1.49,1.55,2.76,1.84,0.78,1.82,,,,,,
June,,,,,,,,,2.47,2.7,1.77,2.23,3.18,0.64,,,,,,
July,,,,,,,,,3.65,2.83,2.43,0.79,1.77,2.3,,,,,,
August,,,,,,,,,5.15,2.63,2.09,0.69,5.86,1.24,,,,,,
September,,,,,,,,,1.23,2.91,0.51,1.53,2.97,1.7,,,,,,
October,,,,,,,,,1.91,5.44,2.55,4.74,3.07,5.1,,,,,,
November,,,,,,,,,0.9,0.98,3.68,5.88,2.42,3.61,,,,,,
December,,,,,,,,,2.85,3.78,3.64,5.11,3.52,1.2,,,,,,
Total,,,,,,,,,27.23,29.81,29.87,30.21,32.13,28.69,,,,,,
