BUNGAY-FLIXTON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM303861,Long,1.3857663,Lat,52.424354,Elevation,79,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.03,3.93,1.36,2.11,0.85,1.97,1.08,3.15,1.36,1.69,1.6,0.89,0.79,1.52,1.47,2.61,3.84,2,4.79,1.44,2.23,2.31,3.47,1.87,1.92,1.39,1.63,3.98,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.28,2.06,3.35,1.56,1.95,1.82,2.23,0.97,0.52,0.97,2.65,0.54,1.54,0.38,2.09,2.55,3.19,0.66,0.91,1.36,1.88,0.73,0.54,1.19,1.67,1.94,2.03,0.77,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,0.86,1.42,1.24,0.39,1.19,0.33,2.19,1.89,0.02,0.8,,1.55,1.55,1.65,1,0.36,2.75,0.44,2.08,2.72,3.18,2.08,0.3,0.5,1.37,1.29,4.01,0.62,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.24,2.55,0.65,2.45,2.17,2.05,1.55,1.37,0.85,1.86,3.22,2.93,0.97,2.29,2.08,1.28,2.24,0.31,1.94,1.11,1.14,0.4,0.87,1.84,1.57,0.61,1.26,1.51,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.96,0.71,1.27,4.29,2.3,1.72,0.44,1.42,0.89,3.08,2.8,2.69,1.74,2.37,0.69,1.09,2.9,1.81,0.69,0.19,2.01,1.59,0.92,0.68,2.28,1.06,0.56,2.18,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.41,1.84,0.71,1.37,0.55,2.18,3.75,1.87,0.64,1.2,1.53,0.35,1.65,2.37,2.14,3.67,1.68,1.12,0.84,0.23,0.35,0.57,1.09,1.26,1.83,3.78,2.72,2.85,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.37,4.37,2.29,1.78,1.37,1.75,2.11,2.04,4.81,2.97,3.05,3.04,1.84,1.19,0.51,3.7,2.16,0.91,1.44,3.14,1.36,3.34,0.74,1.42,0.87,6.56,1.31,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.29,2.01,3.38,2.25,2.87,1.95,3.09,1.82,1.15,2.4,3.39,1.38,0.89,1.52,1.61,1.22,1.66,1.08,3.78,0.3,3.65,1.44,1.29,1.32,4.99,3.4,0.02,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.78,1.36,2.9,1.76,3.84,2.36,0.36,2.52,0.93,1.12,5.33,1.92,1.51,2.88,1.65,3.05,2.06,2.08,2.07,0.59,0.78,0.06,1.53,2.24,2.94,1.69,2.97,0.67,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.73,0.72,2.16,2.81,4.8,1.66,2.33,1.98,1.64,2.73,0.63,0.85,3.92,2.39,1.29,2.18,2.58,1.99,2.44,5.96,2.15,2.31,3.51,1.42,3.55,2.17,0.87,0.37,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,0.79,1.37,1.42,7.46,1.35,2.57,3.09,3.47,2.24,3,3.29,1.62,1.19,2.44,1.84,3.58,3.18,1.65,1.85,4.31,5.48,2.28,3.1,2.37,3.94,1.45,3.45,1.01,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.16,1.75,1.48,2.82,2.41,2.01,0.85,2.07,3.14,4.32,2.16,0.94,0.48,0.69,3.24,1.9,1.49,2.48,,1.97,1.44,1.33,2.24,1.24,1.6,2.61,3.02,2.36,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,13.64,26.85,29.1,28.6,21.85,20.4,26.48,22.48,21.41,26.38,,20.47,19.37,21.31,22.3,25.79,28.62,,29.3,20.34,21.78,22.84,16.49,22.11,24.42,30.34,17.95,21.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
