WIVELISCOMBE-WITHYCOMBE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST051271,Long,-3.35391,Lat,51.03599,Elevation,820,ft,,,,,,,,,,,,
Station no,RR8792,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.89,2.27,1.06,1.02,1.3,3.05,5.3,,,,,,
February,,,,,,,,3.67,2.49,3.85,5.33,1.6,3.4,4.9,,,,,,
March,,,,,,,,3.34,2.23,1.6,3.2,3.61,2.2,0.75,,,,,,
April,,,,,,,,4.82,4.2,3.1,1.5,3.1,5.5,1.8,,,,,,
May,,,,,,,,3.57,4.95,3.35,1.52,1.49,2.45,1.5,,,,,,
June,,,,,,,,2.05,3.05,8.23,2.03,3.61,5.5,2.25,,,,,,
July,,,,,,,,4.12,2.86,4.07,5.1,3.5,2.75,3.2,,,,,,
August,,,,,,,,5.64,6.6,6.92,0.54,6.5,4.45,1.55,,,,,,
September,,,,,,,,2.83,2.84,3.5,5.27,0.9,3.85,3.52,,,,,,
October,,,,,,,,3.48,7.6,2.52,5.16,2.92,9.01,5.18,,,,,,
November,,,,,,,,8,4.38,0.61,5.51,6.54,6.03,1.63,,,,,,
December,,,,,,,,3.35,2.92,1.9,4.19,2.89,6.05,2.52,,,,,,
Total,,,,,,,,52.76,46.39,40.71,40.37,37.96,54.24,34.1,,,,,,
,,,,,,,,,,,,,,,,,,,,
Withycombe house about 0.5 miles from church Not 0.25 miles as on sheet,,,,,,,,,,,,,,,,,,,,
At 0.25 miles from church elevation more than 100ft higher than on sheet,,,,,,,,,,,,,,,,,,,,
House 60 to 70 ft higher than on sheet so NGR is SE where lower though still above 800ft,,,,,,,,,,,,,,,,,,,,
