SCARBOROUGH OSGODBY,,,,,,,,,,,,
Grid ref,TA056840,Long,-0.381118,Lat,54.240813,,,,,,,
Station no,3462,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.69,1.18,1.32,1.87,2.10,0.69,2.99,1.41,1.32,0.63,,
February,5.55,2.20,1.22,0.92,2.55,1.18,1.23,1.67,2.14,1.34,,
March,0.47,1.95,1.25,1.85,1.44,1.33,1.42,0.82,2.71,5.80,,
April,1.09,1.84,0.82,2.73,0.70,1.29,0.77,1.59,2.25,2.71,,
May,0.79,0.66,2.50,2.25,2.64,1.17,1.87,2.58,1.35,1.30,,
June,2.15,1.44,2.11,1.78,0.72,0.75,0.47,2.87,1.36,2.91,,
July,1.47,1.90,2.18,2.31,1.27,1.02,1.01,0.61,1.46,2.50,,
August,5.53,3.02,2.69,1.82,2.50,2.71,2.06,1.54,2.18,4.14,,
September,0.64,0.46,0.70,2.43,1.05,1.40,0.94,0.36,2.08,1.63,,
October,3.79,1.57,1.96,6.21,0.42,3.66,3.95,4.15,1.15,2.30,,
November,2.53,3.29,1.23,2.59,2.15,4.32,3.38,2.16,1.40,1.58,,
December,3.53,3.33,2.63,1.13,1.96,0.35,2.73,3.31,3.10,4.68,,
Total,30.23,22.84,20.61,27.89,19.50,19.87,22.82,23.07,22.50,31.52,,
Calc annual,30.23,22.84,20.61,27.89,19.50,19.87,22.82,23.07,22.50,31.52,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
