ULLSWATER MARTINDALE PARSONAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY435191,Long,-2.8742,Lat,54.5643,Elevation,726,ft,,,,,,,,,,,,
Station no,RR2259,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.31,12.21,10.69,7.76,7.01,21.08,21.8,9.33,14.28,,,,
February,,,,,,,,9.47,9.35,14.9,9.97,5.33,10.09,1.25,6.74,1.77,,,,
March,,,,,,,,7.08,11.14,1.91,3.55,8,5.55,4.13,5.74,3.16,,,,
April,,,,,,,,8.87,6.28,2.53,2.28,2.97,2.3,0.81,5.47,2.18,,,,
May,,,,,,,,0,3.6,2.46,7.85,1.6,4.86,2.26,1.52,3.68,,,,
June,,,,,,,,3,1.57,2.5,1.56,2.17,6.09,2.99,2.62,5.62,,,,
July,,,,,,,,5.59,0.28,2.52,1.25,6.13,4.17,9.07,2.93,3.6,,,,
August,,,,,,,,4.17,7.98,1.91,1.4,5.8,4.43,6.58,11.8,4.22,,,,
September,,,,,,,,6.04,3.09,14.53,7.62,4.7,7.93,4.18,10.34,7.29,,,,
October,,,,,,,,4.5,10.54,3.67,15.27,8.03,12.78,7.59,20.08,6.87,,,,
November,,,,,,,,4.36,6.26,8.45,5.62,2.5,11.9,4.26,5.31,6.25,,,,
December,,,,,,,,3.07,19.08,12.43,2.93,11.63,12.72,4.69,4.55,8.28,,,,
Total,,,,,,,,60.46,91.38,78.5,67.06,65.87,103.9,69.61,86.43,67.2,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR for building adjacent to St Peter's Church, Martindale - assumed to be Parsonage; observer Rev. Samuel Golding was living at Parsonage in 1871",,,,,,,,,,,,,,,,,,,,
