"LINCOLN (SKELLINGTHORPE HALL)",,,,,,,,,,,,
Grid ref,SK930715,Long,-0.608191,Lat,53.232404,,,,,,,
Station no,2557,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.38,0.88,0.79,1.71,3.86,1.25,2.23,2.42,4.21,,
February,2.93,0.41,1.51,1.94,2.12,1.04,1.96,3.25,0.34,1.65,,
March,3.10,2.57,0.78,1.46,1.97,0.76,1.51,1.92,2.00,1.35,,
April,1.30,1.19,1.97,0.13,1.00,1.23,0.18,0.55,1.82,1.10,,
May,3.21,1.31,2.26,2.75,2.75,0.74,1.52,2.21,0.59,0.70,,
June,1.00,1.63,1.81,2.63,3.12,4.04,1.66,4.51,1.37,1.09,,
July,0.98,0.31,1.84,1.76,0.83,2.52,3.09,5.11,1.53,3.52,,
August,5.15,1.99,1.56,3.43,0.36,5.81,2.85,2.23,0.70,4.80,,
September,1.02,1.95,1.47,2.16,0.87,1.59,4.13,1.94,0.07,2.83,,
October,1.43,2.40,1.88,3.18,1.07,1.08,1.20,1.75,2.37,4.59,,
November,4.66,1.96,1.43,4.18,1.18,1.02,2.52,1.02,1.94,3.33,,
December,1.26,1.63,1.05,2.52,1.38,1.18,1.48,2.94,3.24,3.23,,
Total,28.22,18.73,18.44,26.93,18.36,24.87,23.35,29.66,18.39,32.40,,
Calc annual,28.22,18.73,18.44,26.93,18.36,24.87,23.35,29.66,18.39,32.40,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
