"SANDFORD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SP542019,Long,-1.216915,Lat,51.713221,,,,,,,
Station no,1048/5/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.72,,
February,,,,,,,,,,1.37,,
March,,,,,,,,,,0.85,,
April,,,,,,,,,,0.71,,
May,,,,,,,,1.71,,2.27,,
June,,,,,,,,3.09,,4.28,,
July,,,,,,,,2.68,,4.45,,
August,,,,,,,,3.38,,2.27,,
September,,,,,,,,3.46,,4.64,,
October,,,,,,,,2.50,,5.73,,
November,,,,,,,,2.93,,4.04,,
December,,,,,,,,2.64,,4.17,,
Total,,,,,,,,,,37.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.39,0.00,37.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
