LINCOLN - THE QUARRY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK983718,Long,-0.529,Lat,53.234,Elevation,210,ft,,,,,,,,,,,,
Station no,RR1744,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,0.35,0.18,0.43,1.80,2.86,2.31,1.13,2.43,1.85,0.50,1.26,2.17,1.08,0.60,1.42,1.50,3.51,0.99,1.96,0.80
February,2.43,1.70,2.80,0.80,2.80,1.35,2.59,0.29,0.57,0.66,1.48,0.95,0.11,1.73,1.67,1.16,0.25,0.67,2.82,0.62
March,0.73,0.82,1.98,1.14,0.77,1.20,1.05,2.60,1.30,2.30,2.69,1.36,0.89,0.82,0.43,0.55,2.14,1.71,2.11,1.30
April,2.08,2.50,0.97,3.68,1.68,0.94,1.49,1.02,1.05,1.72,2.31,0.36,1.38,1.04,0.17,2.15,1.47,0.63,1.30,2.44
May,2.36,1.10,1.53,2.48,1.40,0.89,1.90,4.27,1.02,0.67,3.78,2.19,2.78,2.92,1.26,1.39,0.95,0.63,1.64,2.03
June,7.90,3.37,1.43,3.43,6.27,0.42,2.21,0.82,0.28,1.08,0.71,2.02,3.12,3.49,1.04,2.44,1.29,3.55,2.50,1.16
July,3.52,5.22,1.78,2.10,3.14,2.50,0.36,2.25,0.88,4.82,2.03,2.13,2.76,2.74,3.07,3.78,4.08,1.82,0.69,0.81
August,3.55,1.49,4.97,4.16,1.47,1.40,2.45,1.77,1.52,2.16,4.18,2.62,3.07,1.56,1.56,2.05,2.05,1.58,3.22,2.47
September,2.93,3.71,1.80,1.58,4.16,1.27,3.39,1.19,2.43,1.65,1.80,1.39,1.34,2.17,0.78,0.68,0.52,4.14,2.92,0.57
October,0.92,5.46,1.95,4.76,2.96,1.01,4.05,3.18,1.93,0.42,3.93,0.81,4.05,4.08,1.83,3.17,2.57,3.39,0.65,2.68
November,1.09,2.67,2.24,2.72,2.67,1.41,2.54,1.55,1.64,2.56,0.39,2.22,2.43,1.14,2.51,1.91,2.61,1.19,1.77,1.86
December,0.57,2.22,2.09,3.53,1.06,1.31,0.86,2.98,0.94,1.66,1.45,0.58,2.38,0.56,1.59,2.03,1.91,3.29,1.96,1.97
Total,28.43,30.44,23.97,32.18,31.24,16.01,24.02,24.35,15.41,20.20,26.01,18.80,25.39,22.85,17.33,22.81,23.35,23.59,23.54,18.71
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/041,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/048,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/175,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# Readings end in December 1898. The total shown on the sheet for 1899 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,
