"GREAT STRICKLAND, Greencroft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY558229,Long,-2.685664,Lat,54.599332,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.7,8.55,3.31,6.74,7.18,4.14,3.46,8.86,8.72,5.02,6.14,1.7,7.13,3.19,,,,,,,,,,,,,,,,,,,,,4.19,2.77,2.34,7.5,6.03,1.88,6.57,1.15,2.74,3.92,1.74,4.01,4,2.89,3.59,5.66,2.08,,
February,,,,,,2.98,4.29,3.21,3.98,6.57,4.19,3.65,9.47,1.15,2.69,0.62,3.17,3.27,2.14,,,,,,,,,,,,,,,,,,,,,4.4,1.17,1.49,7.3,3.85,3.15,2.79,2.73,3.09,6.32,4.55,2.92,2.86,6.75,7.9,4.5,1.02,,
March,,,,,,1.59,2.7,2.75,5.39,0.62,1.29,6.16,3.32,2.14,3.02,1.41,4.2,2.15,1.62,,,,,,,,,,,,,,,,,,,,,0.34,2.72,2.23,10.15,2.34,3.63,2.14,3.25,3.81,2.46,1.71,4.4,6.74,4.1,1.07,2.37,2.01,,
April,,,,,,0.95,1.8,4.84,3.37,1.01,1.49,2.26,0.93,0.26,3.16,0.8,2.4,2.79,2.15,,,,,,,,,,,,,,,,,,,,,2.35,2.9,2.19,1.1,3.32,3.46,1.29,1.84,1.86,3.31,2.32,0.73,5.85,1.85,2.42,3.07,2.52,,
May,,,,,,5.54,0.72,2.49,1.86,2.32,2.7,1.35,1.56,1.42,1.86,2.04,0.95,2.52,2.72,,,,,,,,,,,,,,,,,,,,,2.69,1.78,2.85,3.17,3.54,0.79,5.4,4.98,2.88,2.25,4.24,1.74,1.54,2.04,1.57,2.64,2.66,,
June,,,,,,0.84,2.43,1.32,0.56,1.58,1.56,2.73,2.84,1.3,1.6,3.35,2.99,3.52,2,,,,,,,,,,,,,,,,,,,,,4.29,1.72,1.46,1.01,2.09,1.88,0.69,4.39,1.67,1.46,4.6,5.17,1.93,2.03,1.29,3.36,2.66,,
July,,,,,,1.36,2.99,3.92,0.19,0.68,0.71,3.35,4.09,3.39,1.5,3.79,2.49,5.29,0.8,,,,,,,,,,,,,,,,,,,,,1.45,1.58,4.03,3.27,1.69,1.08,1.45,2.06,2.36,4.77,0.52,4.41,0.9,3.51,3.32,5.34,1.04,,
August,,,,,,4.88,5.33,2.51,4.51,2.74,2.15,2.59,3.92,3.58,5.2,2.05,4,6.75,4.7,,1.07,,,,,,,,,,,,,,,,,,,6.27,2.83,2.1,4.45,4.69,3.88,4.22,2.78,4.53,6.15,2.89,5.35,1.28,2.34,4.35,1.61,6.68,,
September,,,,,,0.55,6.35,3.33,3.04,7.9,3.44,3.29,5.57,2.13,5.97,4.77,3.92,2.76,5.01,,3.92,,,,,,,,,,,,,,,,,,,2.2,1.83,2.15,5.22,1.56,3.4,0.96,0.38,2.66,0.24,4.09,1.92,2.16,2.16,1.23,2.03,3.08,,
October,,,,,,6.27,2.25,2.88,4.48,2.73,8.12,4.35,7.06,3.72,9.43,3.51,3.67,6,4.88,,1.2,,,,,,,,,,,,,,,,,,,6.6,3.21,3.52,10.81,1.28,2.76,6.74,5.64,1.73,2.45,4.09,3.71,3.76,1.13,0.86,8.55,5.97,,
November,,,,,4.68,4.5,4.35,0.7,3.36,4.62,2.62,1.24,5.92,2.03,2.84,3.41,3.12,7.88,3.22,,,,,,,,,,,,,,,,,,,,,2.9,3.98,3.42,2.67,2.83,4.6,3.84,3.58,3.32,3.39,6.51,3.87,3.76,6.27,1.54,5.28,3.42,,
December,,,,,3.3,4.71,4.24,2.29,10.89,6.72,2.9,3.69,5.62,1.64,3.05,3.12,6.79,3.63,3.84,,,,,,,,,,,,,,,,,,,,,7.26,4.46,6.28,3.98,3.75,1.55,2.57,6.34,2.67,3.79,9.48,5.87,3.69,8.92,7.51,3.1,1.71,,
Total,,,,,,35.87,46,33.55,48.37,44.67,35.31,38.12,59.16,31.48,45.34,35.01,39.4,53.69,36.27,,,,,,,,,,,,,,,,,,,,,44.94,30.95,34.06,60.63,36.97,32.06,38.66,39.12,33.32,40.51,46.74,44.1,38.47,43.99,36.65,47.51,34.85,,
