"ABERFELDY, DALL AVON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN853490,Long,-3.870747,Lat,56.618774,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,2.19,3.61,5.3,1.02,9.52,6.5,2.88,3.69,4.63,1.19,2.09,3.01,6.17,5.42,7.06,3.79,2.29,5.07,6.98,6.8,9.69,1.14,6.21,3.51,6.89,4.78,5.84,1.56,5.14,10.98,7.91,3.82,1.77,1.72,2.88,6.31,3.66,3.25,4.89,6.29,7.56,3.44,
February,,,,,,,,,1.73,0.8,5.34,3.63,3.7,2.71,6.2,8.76,5.28,0.7,4.75,1.09,4.51,0.44,3.39,10,1.33,5.63,4.65,1.23,4.08,2.01,0.92,2.39,0.14,5.33,0.5,4.36,2.2,3.39,1.39,4.14,2.46,3.74,1.23,3.21,1.13,4.76,2.78,1.23,4.43,3.35,
March,,,,,,,,,4.48,2.59,2.78,1.47,3.51,6.2,3.89,1.75,1.42,2.47,0.68,3.02,4.35,5.64,1.91,1.9,0.71,1.71,2.4,3.22,8.08,0.66,2.24,0.88,2.3,2.01,2.97,1.94,2.24,1.86,0.92,2.45,2.71,1.96,2.61,2.05,0.45,2.27,1.71,4.22,3.82,1.73,
April,,,,,,,,3.4,0.89,3.62,4.76,2.55,0.7,4.08,1.75,2.39,2.35,1.18,0.66,1.52,1.79,0.64,2.36,3.31,2.59,4.13,1.84,2.28,1.55,0.94,1.82,2.6,3.34,1.33,3.08,3.09,0.64,1.29,0.24,1.96,3.18,1.59,2.56,2.66,2.04,1.16,0.55,6.84,2.13,2.22,
May,,,,,,,,3.6,1.45,2.97,1.44,1.64,0.99,6.58,1.35,1.38,3.01,3.41,3.43,1.35,3.62,2.05,2.25,1.73,3.81,5,2.58,2.39,1.26,3.48,1.27,3.68,2.45,1.99,2.66,0.8,1.1,2.96,2.52,1.04,1.18,3.13,3.75,2.7,2.89,5.21,1.48,3.65,2.89,2.51,
June,,,,,,,,2.95,1.35,1.63,2.84,2.69,3.92,1.68,0.85,2.67,1.98,2.8,0.69,1.31,0.82,0.52,1.58,0.62,1.95,0.53,4.38,2.82,3.32,1.82,1.26,4.69,1.41,1.8,1.07,8,1.48,1.19,3.67,0.76,0.21,0.47,1.27,3.45,3.4,2.9,2.77,2.34,3.89,1.48,
July,,,,,,,,1.78,2.05,2.64,4.07,1.55,1.7,0.36,2.42,1.76,6.07,1.28,5.34,0.29,2.99,3.02,3.03,2.46,3.94,1.57,2.76,4.48,1.21,2.36,2.33,4.73,3.69,3.13,3.31,0.72,4.25,3.37,4.15,4.25,4.51,2.41,1.58,1.88,2.71,3.4,3.98,4.43,1.78,1,
August,,,,,,,,3.7,2.46,2.39,8.27,1.92,5.62,1.08,2.56,3.84,4.03,3.78,1.92,1.58,3.77,4.45,1.52,5.23,3.08,2.93,1.8,4.79,5.05,2.64,5.22,2.35,1.41,1,4.03,2.46,1.99,2.88,2.98,2.3,0.97,3.39,3.26,4.45,3.81,1.9,4.03,0.04,6.24,3.32,
September,,,,,,,,0.9,3.52,1.39,0.75,0.72,2.34,2.02,0.88,1.68,1.45,1.4,4.52,1.74,1.46,1.6,1.69,3.28,4.33,2.59,2.88,4.32,3.48,0.89,4.64,1.14,1.89,1.8,4.01,4.79,3.22,1.74,3.14,2.73,1.39,1.54,4.5,2.66,3.17,4.5,4.42,3.9,3.55,1.23,
October,,,,,,,,4.73,1.58,7,2.51,2.7,3.14,2.27,2.01,4.41,6.44,4.45,4.16,0.92,4.2,2.6,1.47,5.38,2.9,3.43,6.47,5.08,6.55,4.91,5.4,1.8,6.69,3.44,5.35,7.03,3.03,3.15,6.33,8.09,5.87,3.19,3.04,7.97,4.02,4.56,0.23,2.33,3.39,,
November,,,,,,,,2.33,2.41,1.61,3.47,5.31,3.24,3.42,6.05,2.4,7.08,4.28,4.86,4.6,4.52,2.93,1.9,2.95,2.28,0.87,7.69,3.16,4.28,4.61,5.19,7.11,2.74,3.66,0.28,5.45,3.27,0.41,7.49,5.61,6.13,5.6,0.66,1.8,5.55,0.72,5.74,4.56,1.79,,
December,,,,,,,,3.98,2.53,3.41,6.45,8.69,8.06,2.48,10.12,7.9,4.73,1.26,2.87,6.36,5.29,4.78,5.84,2.49,7.41,4.32,1.07,2.15,4.16,11.28,6.34,2.81,6.15,0.52,10.16,2.73,6.36,1.66,4.98,1.61,3.28,3.56,5.31,2.4,5.38,6.29,5.22,1.45,7.4,,
Total,,,,,,,,,26.64,33.66,47.98,33.89,46.44,39.38,40.96,42.63,48.47,28.2,35.97,26.79,43.49,34.09,34,43.14,36.62,37.78,45.5,42.72,52.71,36.74,42.84,37.69,39.1,30.79,43.26,42.93,34.92,34.88,45.72,38.76,33.66,32.3,32.65,41.54,38.21,40.92,37.8,41.28,48.87,,
